watershed,location,scenario,flow_cfs,habitat_type,habitat_area_acres,method,interpolation_applied,project_type
Feather River,LFC,Reference Condition,150,Spawning,3.36,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,200,Spawning,5.72,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,250,Spawning,8.31,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,300,Spawning,10.86,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,350,Spawning,13.28,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,400,Spawning,15.49,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,450,Spawning,17.47,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,500,Spawning,19.18,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,550,Spawning,20.63,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,600,Spawning,21.79,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,650,Spawning,22.71,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,700,Spawning,23.36,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,750,Spawning,23.78,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,800,Spawning,23.99,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,850,Spawning,23.99,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,900,Spawning,23.82,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,950,Spawning,23.51,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,1000,Spawning,23.1,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,1100,Spawning,21.97,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,1200,Spawning,20.59,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,1300,Spawning,19.07,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,1400,Spawning,17.47,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,1500,Spawning,15.92,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,1600,Spawning,14.41,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,1800,Spawning,11.64,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,2000,Spawning,9.3,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,2250,Spawning,6.96,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,2500,Spawning,5.29,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,2750,Spawning,4.13,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,Reference Condition,3000,Spawning,3.42,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,500,Spawning,25.25,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,750,Spawning,31.98,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,1000,Spawning,36.7,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,1200,Spawning,39.72,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,1300,Spawning,40.92,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,1400,Spawning,41.77,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,1500,Spawning,42.37,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,1600,Spawning,42.69,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,1700,Spawning,42.76,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,1800,Spawning,42.59,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,1900,Spawning,42.22,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,2000,Spawning,41.65,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,2250,Spawning,39.57,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,2500,Spawning,36.94,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,2750,Spawning,34.08,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,3000,Spawning,31.29,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,3250,Spawning,28.8,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,3500,Spawning,26.66,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,3750,Spawning,24.87,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,4000,Spawning,23.34,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,4250,Spawning,22.04,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,4500,Spawning,20.84,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,4750,Spawning,19.75,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,5000,Spawning,18.76,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,5250,Spawning,17.83,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,5500,Spawning,16.96,flow-habitat relationship provided,FALSE,NA
Feather River,HFC,Reference Condition,5750,Spawning,16.14,flow-habitat relationship provided,FALSE,NA
