flow_cfs,fr_spw_sqm_existing,fr_spw_sqm_va,fr_juv_sqm_existing,fr_juv_sqm_va,fp_acres_existing,fp_acres_va
50,8970.864947905093,10847.314189316567,1548986.8520637967,1548986.8520637967,650.8056801652835,650.805680165388
75,23910.251745655452,28893.812188241503,1605801.0173302633,1605801.0173302633,670.5439449928277,670.5439449928733
100,58186.7670496388,69080.31056965198,1677670.3744049731,1677670.3744049731,687.6882027899453,687.6882028051962
125,77052.78633805782,90912.83658951338,1691336.7041995171,1691336.7041995171,700.672297301074,700.6722972873366
150,88363.63983816764,104316.81679477011,1695200.318973131,1695200.318973131,711.9439670659567,711.9439666664132
175,100681.76084496442,118589.34982851206,1688788.7542913288,1688788.7542913288,720.8237893265508,722.1823465304517
200,109374.92951457354,128731.22514074839,1664704.377416915,1664704.377416915,728.922674460263,732.9327989925534
225,118698.71866265731,140194.2606328366,1653429.6651185069,1653429.6651185069,736.9096762378466,743.6377685528296
250,121324.2248397193,143154.74070792092,1637225.123603023,1637225.123603023,742.7205287600933,752.0509257543957
275,122711.71601188988,144988.96757127464,1625190.346504655,1625190.346504655,748.1775739486558,761.5481696652273
300,122892.47895961217,145506.12540761038,1618018.3262719582,1618018.3262719582,753.3478330321299,770.0867216216965
325,122695.31884063693,145453.62386114203,1610390.8476201643,1610390.8476201643,757.673453734865,776.6076830157583
350,121338.2776135402,143932.66376784828,1597119.1847875807,1597119.1847875807,761.726077636218,781.9491581029911
375,122426.69381514001,145140.21800990836,1570198.2264448095,1570934.1915395525,765.4731366576731,786.4646651774875
400,122036.94155262888,144658.0596589099,1531536.4051966162,1533723.573831026,769.1452477371625,790.5650905043314
425,121062.86467826775,143529.69719815845,1511721.3809032904,1515359.753077367,772.9720153676022,794.6076704711222
450,117706.23263540206,139495.82668080556,1493618.482332598,1498708.0580463416,777.4922889305891,799.2593570585776
475,116475.35324490326,138102.70653997685,1467475.1461460164,1477422.2924141362,781.8752436901307,803.8183206483361
500,114081.8906595948,135265.8202150504,1444607.000488654,1459641.5914954657,786.3642582829941,808.6432019935917
550,108983.64854019112,129322.68545207068,1376867.2399799738,1392138.6100988577,795.8051682829566,819.598276088469
600,102913.61930740028,122006.7912939713,1318331.137171616,1331354.7588112438,805.8532414648172,833.061916327017
650,93579.42084910504,110644.20535488521,1264300.708193644,1264300.708193644,817.9677228916496,850.5531974448835
700,87314.05395616214,103212.67506014225,1231945.1232441412,1231945.1232441412,827.1489279472287,866.4318094362384
750,81929.3582706325,97005.58593928178,1199822.8752406405,1199822.8752406405,839.5967023853669,885.9575034551398
800,73603.61145387661,86743.34511689146,1165325.437082686,1165325.437082686,849.597245209969,903.0466124559399
850,64814.911981968035,75978.70492943708,1158422.8003611835,1201121.4164991763,859.8901744159724,920.2462828051307
900,58199.4626791085,68048.8491690457,1146977.032784518,1259143.572081454,874.9604033165641,941.6212966935874
1000,53466.90208182702,62443.143062882824,1138899.345327276,1272252.065943131,894.2896003675355,970.6451211051218
1100,NA,NA,1127907.9495455981,1283756.8657768324,909.4076879955322,995.2887736543328
1200,NA,NA,1149702.5222941486,1327651.2396896728,930.8250219858519,1031.297970874749
1250,NA,NA,1135751.089365667,1323652.4867412848,1129.1264032145216,1240.3807108463802
1500,NA,NA,1140881.5156803527,1378158.1531245257,1185.9445850327031,1309.881556901532
1700,NA,NA,1190454.7209641135,1502063.146532192,1227.3206180905545,1349.1489867818862
1750,NA,NA,1259237.8575089946,1557534.8227200024,1237.6646263550174,1357.502633423622
2000,NA,NA,1340548.4549807017,1572288.1184063568,1287.8247503219595,1390.09697680448
2250,NA,NA,1455605.0529935877,1620787.4146338904,1336.5024362723725,1414.7656556621196
2500,NA,NA,1455605.0529935877,1558059.0943920033,1393.2947916442736,1449.868999386957
2750,NA,NA,1564957.5494851456,1642964.4429517952,1448.8681387517117,1501.1389101875775
3000,NA,NA,1662207.750894602,1724349.5541221653,1498.2121470161744,1549.0495282163868
3500,NA,NA,1888587.3571296618,1966818.3268776457,1607.4063618922078,1654.9986385937682
4000,NA,NA,2067680.4311434538,2116630.4153066347,1714.7514032145214,1759.4802312983502
4500,NA,NA,2260020.748826633,2274781.665687608,1818.8681387517113,1861.076531356454
5000,NA,NA,2414944.2454705704,2421521.6251716968,1916.7348742889017,1956.6023419070839
5500,NA,NA,2557079.669456266,2557079.669456266,2029.8857007351828,2067.428245741075
6000,NA,NA,2787487.7924907017,2787487.7924907017,2135.9859073467524,2171.0560030370907
6500,NA,NA,2960248.303933131,2960248.303933131,2245.810287512042,2278.4197110842333
7000,NA,NA,3114204.6121048084,3114204.6121048084,2337.9745437103893,2337.9745437103893
