flow_cfs,fr_juv_ic_sqm,fr_juv_fp_sqm
300,110894.11232697037,0
400,115327.19010624356,0
500,117745.23253130166,0
1000,115159.27049339231,0
1500,107837.97537307748,0
1750,98065.05390513431,3559.895792446656
2000,85202.411560728,15851.611453158695
2500,67369.34867592446,26296.211372506907
3000,54607.458099228905,37345.32189811964
3500,44935.288398996476,47118.243366062816
4000,37546.82543354115,54506.706331518144
4500,31233.047990333875,62231.00852267599
5000,26061.123914515145,70828.49270066035
5500,21527.294367531194,78653.54665952895
6000,18773.412716770574,84564.31703189321
6500,16691.209517414987,89635.4893400012
7000,15213.516924323918,94471.57419011739
7500,13702.240408662601,99139.73942738236
8000,12627.554886414555,101826.45323300247
8500,11586.45328673676,104378.83134834158
9000,10075.176771075441,108173.81459878
9500,9605.001855091923,113211.40298431773
10000,8798.987713405886,115125.68657082206
