watershed,habitat_type,run,total_acres_R2R_baseline,total_acres_HRL,questions,proposed_approach_for_incorporation,source
American River,spawning,fall,13,,,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
American River,spawning,unknown,,25,What run? Where is this habitat being added?,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
American River,inchannel rearing,unknown,,75,What run?,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
American River,inchannel rearing,fall,3,,,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
American River,floodplain rearing,fall,2,,,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
North Delta,floodplain rearing,all,5589,5227.5,,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Tuolumne River,inchannel rearing,fall + spring,30,,,Use Tuolumne projected curve,
Tuolumne River,spawning,fall + spring,,,"How many acres does 75,000 tons of new gravel create?",Use Tuolumne projected curve,
Tuolumne River,floodplain rearing,fall + spring,90,77,,Use Tuolumne projected curve,
Sacramento River,inchannel rearing,unknown,,137.5,,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Lower-mid Sacramento River,floodplain rearing,all,114,,,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Upper Sacramento River,spawning,fall,3.5,,,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Upper Sacramento River,inchannel rearing,fall,12.1,,,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Upper Sacramento River,inchannel rearing,spring,7,,,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Upper Sacramento River,spawning,spring,3.5,,,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Upper Sacramento River,inchannel rearing,winter,199.88,,,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Upper Sacramento River,spawning,winter,190.28,,Where is this habitat being added?,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Upper Sacramento River,spawning,unknown,,113.5,Does this include above-dam habitat?,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Upper-mid Sacramento River,inchannel rearing,all,1.95,,,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Yuba River,floodplain rearing,fall + spring,68,100,,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Yuba River,inchannel rearing,fall + spring,,50,,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Sutter Bypass,floodplain rearing,unknown,,20000,What run?,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Mokelumne,inchannel rearing,unknown,,1,What run?,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Mokelumne,floodplain rearing,unknown,,25,What run?,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Feather River,spawning,unknown,,15,What run?,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
Feather River,inchannel rearing,unknown,,5.25,What run?,Scale existing flow-area curve,MOU appendix 2: https://resources.ca.gov/-/media/CNRA-Website/Files/NewsRoom/email-items/VoluntaryAgreementMOUTermSheet20220329_SIGNED-20220811.pdf
