watershed,spwn_flow,spwn_acres,rear_flow,rear_acres_juv,rear_acres_fry,flood_flow,flood_acres
Upper Sacramento River,5527,66.51631969814,8457.5,55.56461267844191,55.56461267844191,18694,10.678221566282266
Antelope Creek,71.8,15.112894868059534,122.1,47.7598315164815,41.15541093951372,483.1,3.528652034261243
Battle Creek,331.4,0.4119558474747646,456.55,4.876993788450939,2.6182670876989698,968.9,0
Bear Creek,19.9,10.693319655565771,25.1,23.302430128473297,27.513709750231314,288,1.3197637795275592
Big Chico Creek,46.6,9.41211868673065,72.25,21.775446958521474,22.786453495027907,456.4,0
Butte Creek,141.9,1.8023955171360415,93.8,43.07733879833826,29.14057227287938,1240.2,36.5951034
Clear Creek,200,12.601383402074793,200,6.630789138448903,9.803502962132942,319.80199999999996,0.5923907279999999
Cottonwood Creek,130,0.895529387506539,426.5,25.96353977784556,37.687744229249695,3836,27.11613
Cow Creek,162.7,49.7125165036752,371.15,79.55847527721404,131.1901018283874,2841.1,51.236012752144674
Deer Creek,138.4,17.320387144168965,265.5,80.20771533516987,42.001507805325986,1193.8,13.640303535353532
Elder Creek,11.5,4.439396433652683,50.75,9.590316315502639,11.277011377748757,428.6,8.636746500000001
Mill Creek,139.2,13.002411690878713,290.4,24.00563097707746,21.24960285450454,768.9,0
Paynes Creek,19.9,7.383094334362684,25.1,15.910035675882105,18.78534132657542,288,0.9766516853932585
Stony Creek,11,16.330766403000357,18,35.19162350086114,41.551551031538246,1830,13.754299052132701
Thomes Creek,35.9,23.428702503699224,184.35,52.784626733847524,42.36980461515364,1062.6,10.787653636363636
Upper-mid Sacramento River,7893,NA,9107.5,62.76153098861126,62.76153098861126,31720,213.14849490483914
Bear River,12.4,1.9608499274813151,368.35,34.62988033788179,40.04294346120589,1641.6,64.38852
Feather River,1780,49.760731808165815,1733,551.9027850331768,166.4813790098365,10000,441.9981000000001
Yuba River,742,29.490430967125928,1200,4.62567360571698,11.01999616911039,6911,100.89410328000001
Lower-mid Sacramento River,NA,NA,NA,38.39651020838057,38.39651020838057,NA,27.241407885600005
American River,1500,251.52960327941926,2153,178.23782486318277,72.65580051640742,9634,139.0343076
Lower Sacramento River,13009,NA,16004,5.217975077838806,5.217975077838806,49965,11.776392284693
Calaveras River,20.4,4.440208239497932,124.65,16.368048075186515,6.476457554387053,1334.3,19.679430599999996
Cosumnes River,55.8,11.8040594529318,253.75,82.86690564328235,58.47595301464283,2264.1,418.2582933
Mokelumne River,325,11.944624748687165,405,158.49695456204464,118.16896025440619,1274,63.393624
Merced River,270,42.16807426331717,280,192.48573855219456,124.59856670301144,1955,21.743532000000002
Stanislaus River,200,27.287482454617557,350.95000000000005,7.768951541031375,12.630243939068809,1553.8039999999999,30.751961212799994
Tuolumne River,300,47.472410496574724,300,310.99251380508815,127.9388274069941,1364,14.722646400000004
San Joaquin River,1328,NA,1687,102.2743688379602,80.8646079608775,5009,303.3503028
