watershed,spwn_flow,spwn_acres,rear_flow,rear_acres_juv,rear_acres_fry,flood_flow,flood_acres,max_spawning_acres,max_rearing_acres,max_floodplain_acres
Upper Sacramento River,5527,66.51631969814,8457.5,55.56461267844191,55.56461267844191,18694,10.678221566282266,332.8826120279721,2150.9769454545453,921.9043855510274
Antelope Creek,71.8,15.112894868059534,122.1,47.7598315164815,41.15541093951372,483.1,3.528652034261243,14.503289839572194,62.39889377540107,86.23380924693934
Battle Creek,331.4,0.4119558474747646,456.55,4.876993788450939,2.6182670876989698,968.9,0,25.043497835497835,92.36973852813853,144.47512979219334
Bear Creek,19.9,10.693319655565771,25.1,23.302430128473297,27.51370975023131,288,1.3197637795275592,8.121898909090909,52.82287636363637,51.03922603205064
Big Chico Creek,46.6,9.41211868673065,72.25,21.77544695852147,22.786453495027907,456.4,0,13.019845454545452,84.52245454545455,89.12834790301105
Butte Creek,141.9,1.8023955171360415,93.8,43.07733879833826,29.14057227287938,1240.2,36.5951034,45.29347878787878,150.19203620202018,310.4706215128099
Clear Creek,200,12.601383402074791,200,6.630789138448903,9.803502962132942,319.80199999999996,0.5923907279999999,12.703259927272727,82.47903418181816,68.25764385559673
Cottonwood Creek,130,0.895529387506539,426.5,25.96353977784556,37.687744229249695,3836,27.11613,151.53804019138755,984.9972612440191,896.1394119199015
Cow Creek,162.7,49.7125165036752,371.15,79.55847527721404,131.1901018283874,2841.1,51.236012752144674,46.55784036363635,302.62596236363635,314.47212796323004
Deer Creek,138.4,17.320387144168965,265.5,80.20771533516987,42.001507805325986,1193.8,13.640303535353532,34.88576,14.432599999999999,197.7303863003232
Elder Creek,11.5,4.439396433652683,50.75,9.59031631550264,11.277011377748757,428.6,8.636746500000001,4.44326214876033,28.88120396694215,18.843367638819302
Mill Creek,139.2,13.002411690878713,290.4,24.00563097707746,21.24960285450454,768.9,0,39.69258604958677,231.5821351404959,240.49290890813847
Paynes Creek,19.9,7.383094334362684,25.1,15.910035675882105,18.78534132657542,288,0.9766516853932584,12.412889075098814,80.65476648221345,71.44449801953995
Stony Creek,11,16.330766403000357,18,35.19162350086114,41.551551031538246,1830,13.7542990521327,32.19883636363636,209.1321818181818,217.36383996654072
Thomes Creek,35.9,23.428702503699224,184.35,52.78462673384752,42.36980461515364,1062.6,10.787653636363636,36.762162481283426,230.707183885918,10.54640738490656
Upper-mid Sacramento River,7893,NA,9107.5,62.76153098861126,62.76153098861126,31720,213.1484949048391,761.968501818182,634.9737515151517,15696.758236363637
Bear River,12.4,1.9608499274813151,368.35,34.62988033788179,40.04294346120589,1641.6,64.38852,29.194377373737375,46.79602122558923,161.28042868134284
Feather River,1780,49.760731808165815,1733,551.9027850331768,166.4813790098365,10000,441.9981000000001,428.1592848,572.9216653333333,887.8605480340465
Yuba River,742,29.490430967125928,1200,4.62567360571698,11.01999616911039,6911,100.89410328,77.83459557024793,770.5523746115701,427.2251981483497
Lower-mid Sacramento River,NA,NA,NA,38.39651020838057,38.39651020838057,NA,27.241407885600005,600.3168000000001,500.26400000000007,2372.0897484
American River,1500,251.5296032794193,2153,178.23782486318277,72.65580051640742,9634,139.0343076,118.21674036363638,399.7034407272728,5247.774447272728
Lower Sacramento River,13009,NA,16004,5.217975077838806,5.217975077838806,49965,11.776392284693,102.50987636363635,85.42489696969697,984.3579272727274
Calaveras River,20.4,4.440208239497932,124.65,16.368048075186515,6.476457554387053,1334.3,19.679430599999996,19.515552,126.851088,102.61911958102063
Cosumnes River,55.8,11.8040594529318,253.75,82.86690564328235,58.47595301464283,2264.1,418.2582933,34.54336351515151,165.59306723232325,166.6458795282845
Mokelumne River,325,11.944624748687165,405,158.49695456204464,118.1689602544062,1274,63.393624,90.14057105454546,586.0140567272728,484.2578711212907
Merced River,270,42.16807426331717,280,192.48573855219456,124.59856670301144,1955,21.743532,117.29338828282827,97.74449023569024,362.42127439853937
Stanislaus River,200,27.287482454617557,350.95000000000005,7.768951541031375,12.630243939068809,1553.804,30.75196121279999,83.23998383838384,269.26361212121213,418.98382029216606
Tuolumne River,300,47.47241049657472,300,310.99251380508815,127.9388274069941,1364,14.722646400000004,93.5537198961039,471.6429942857143,443.1292273546656
Lower San Joaquin River,1328,NA,1687,102.2743688379602,80.8646079608775,5009,303.3503028,371.00045375008864,0,5565.109136804036
North Delta,NA,NA,NA,NA,NA,NA,NA,338.4159,282.01325,48.27638463999595
South Delta,NA,NA,NA,NA,NA,NA,NA,307.829176916996,256.5243140974967,2424.6800974527528
