Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
LESB,55382,100,4.52,3.02,,3.02,,0.18,,0.18,,84.73,80.21
LESB,55382,200,5.13,3.57,,3.57,,0.3,,0.3,,85.34,80.21
LESB,55382,300,5.74,4.12,,4.12,,0.38,,0.38,,85.95,80.21
LESB,55382,400,6.3,4.61,,4.61,,0.44,,0.44,,86.51,80.21
LESB,55382,500,6.75,5.02,,5.02,,0.5,,0.5,,86.96,80.21
LESB,55382,600,7.14,5.34,,5.34,,0.56,,0.56,,87.35,80.21
LESB,55382,700,7.49,5.63,,5.63,,0.61,,0.61,,87.7,80.21
LESB,55382,800,7.82,5.89,,5.89,,0.66,,0.66,,88.03,80.21
LESB,55382,900,8.14,6.11,,6.11,,0.71,,0.71,,88.35,80.21
LESB,55382,1000,8.44,6.31,,6.31,,0.75,,0.75,,88.65,80.21
LESB,55382,1100,8.71,6.48,,6.48,,0.79,,0.79,,88.92,80.21
LESB,55382,1200,8.99,6.62,,6.62,,0.83,,0.83,,89.2,80.21
LESB,55382,1300,9.24,6.72,,6.72,,0.86,,0.86,,89.45,80.21
LESB,55382,1400,9.49,6.84,,6.84,,0.89,,0.89,,89.7,80.21
LESB,55382,1500,9.74,6.82,,6.82,,0.92,,0.92,,89.95,80.21
LESB,55382,1600,9.98,6.86,,7,0.12,0.95,,0.95,0.06,90.19,80.21
LESB,55382,1700,10.22,6.47,,7.18,0.16,0.98,,0.98,0.08,90.43,80.21
LESB,55382,1800,10.44,6.48,,7.34,0.32,1,,1,0.12,90.65,80.21
LESB,55382,1900,10.65,6.49,0.12,7.56,0.45,1.02,0.04,1.03,0.15,90.86,80.21
LESB,55382,2000,10.86,6.37,0.1,7.76,0.52,1.04,0.05,1.05,0.16,91.07,80.21
LESB,55382,2100,11.04,6.47,0.16,7.94,0.67,1.06,0.07,1.08,0.19,91.25,80.21
