Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
LESB,55382,PF 1,100,84.61,,0.72,85.34
LESB,55382,PF 2,200,96.19,0.01,0.82,97.02
LESB,55382,PF 3,300,106.68,0.15,1.01,107.85
LESB,55382,PF 4,400,114.83,0.41,1.19,116.44
LESB,55382,PF 5,500,121.67,0.74,1.37,123.78
LESB,55382,PF 6,600,128.58,1.03,1.84,131.45
LESB,55382,PF 7,700,135.85,1.14,2.08,139.08
LESB,55382,PF 8,800,141.96,1.44,2.51,145.9
LESB,55382,PF 9,900,147.53,1.78,2.86,152.18
LESB,55382,PF 10,1000,154.54,2.01,3.31,159.86
LESB,55382,PF 11,1100,159.51,2.4,3.65,165.56
LESB,55382,PF 12,1200,164.27,2.86,4.05,171.19
LESB,55382,PF 13,1300,168.45,3.42,4.52,176.4
LESB,55382,PF 14,1400,172.32,3.87,4.89,181.07
LESB,55382,PF 15,1500,175.91,4.54,5.41,185.86
LESB,55382,PF 16,1600,179.24,5.25,5.94,190.43
LESB,55382,PF 17,1700,182.59,5.92,6.59,195.11
LESB,55382,PF 18,1800,185.24,6.44,7.22,198.9
LESB,55382,PF 19,1900,188.27,7.22,7.98,203.46
LESB,55382,PF 20,2000,191.06,7.86,9.03,207.95
LESB,55382,PF 21,2100,193.31,8.67,9.67,211.65
LESB,55382,PF 22,2200,195.87,9.33,10.3,215.5
LESB,55382,PF 23,2300,198.66,10.39,11.16,220.21
LESB,55382,PF 24,2400,201.14,11.55,11.75,224.43
LESB,55382,PF 25,2500,203.15,12.7,12.42,228.28
LESB,55382,PF 26,2600,204.82,13.88,13.14,231.84
LESB,55382,PF 27,2700,206.56,15.21,13.99,235.77
LESB,55382,PF 28,2800,208.16,16.53,15.17,239.86
LESB,55382,PF 29,2900,209.66,17.48,16.31,243.45
LESB,55382,PF 30,3000,211.25,18.08,17.3,246.63
LESB,55382,PF 31,3100,212.77,18.91,18.38,250.06
LESB,55382,PF 32,3200,214.16,19.82,19.47,253.45
LESB,55382,PF 33,3300,215.56,20.74,20.43,256.73
LESB,55382,PF 34,3400,217.03,21.95,22,260.98
LESB,55382,PF 35,3500,218.43,22.93,23.9,265.26
LESB,55382,PF 36,3600,219.96,24.37,25.58,269.92
LESB,55382,PF 37,3700,221.13,26.2,27.28,274.6
LESB,55382,PF 38,3800,222.67,29.3,30.03,282
LESB,55382,PF 39,3900,223.99,32.74,33.06,289.79
LESB,55382,PF 40,4000,225.13,36.85,36.91,298.89
LESB,55382,PF 41,4100,226.25,41.73,40.96,308.95
LESB,55382,PF 42,4200,227.28,46.79,45.09,319.16
LESB,55382,PF 43,4300,228.18,52.67,49.56,330.4
LESB,55382,PF 44,4400,228.97,58.15,54.3,341.43
LESB,55382,PF 45,4500,229.66,63.37,60.36,353.39
,,,,,,,
LESB,55105,PF 1,100,83.51,,0.72,84.24
LESB,55105,PF 2,200,95.07,0.01,0.82,95.9
LESB,55105,PF 3,300,105.55,0.15,1.01,106.72
LESB,55105,PF 4,400,113.69,0.41,1.19,115.29
LESB,55105,PF 5,500,120.51,0.74,1.37,122.62
LESB,55105,PF 6,600,127.41,1.03,1.84,130.28
LESB,55105,PF 7,700,134.67,1.14,2.08,137.89
LESB,55105,PF 8,800,140.76,1.44,2.51,144.71
LESB,55105,PF 9,900,146.32,1.78,2.86,150.97
LESB,55105,PF 10,1000,153.31,2.01,3.31,158.63
LESB,55105,PF 11,1100,158.27,2.4,3.65,164.32
LESB,55105,PF 12,1200,163.01,2.86,4.05,169.93
LESB,55105,PF 13,1300,167.17,3.42,4.52,175.11
LESB,55105,PF 14,1400,171.01,3.87,4.89,179.77
LESB,55105,PF 15,1500,174.57,4.54,5.41,184.52
LESB,55105,PF 16,1600,177.87,5.25,5.92,189.04
LESB,55105,PF 17,1700,181.2,5.92,6.48,193.61
LESB,55105,PF 18,1800,183.84,6.44,7.06,197.34
LESB,55105,PF 19,1900,186.86,7.22,7.78,201.86
LESB,55105,PF 20,2000,189.65,7.86,8.75,206.26
LESB,55105,PF 21,2100,191.89,8.66,9.35,209.91
LESB,55105,PF 22,2200,194.45,9.32,9.95,213.72
LESB,55105,PF 23,2300,197.24,10.36,10.79,218.39
LESB,55105,PF 24,2400,199.72,11.48,11.34,222.54
LESB,55105,PF 25,2500,201.74,12.62,12,226.36
LESB,55105,PF 26,2600,203.41,13.76,12.71,229.88
LESB,55105,PF 27,2700,205.14,15.06,13.52,233.73
LESB,55105,PF 28,2800,206.75,16.25,14.66,237.66
LESB,55105,PF 29,2900,208.24,17.17,15.79,241.2
LESB,55105,PF 30,3000,209.83,17.72,16.76,244.31
LESB,55105,PF 31,3100,211.35,18.5,17.83,247.68
LESB,55105,PF 32,3200,212.74,19.36,18.91,251.01
LESB,55105,PF 33,3300,214.14,20.25,19.86,254.26
LESB,55105,PF 34,3400,215.61,21.41,21.43,258.45
LESB,55105,PF 35,3500,217.01,22.38,23.32,262.71
LESB,55105,PF 36,3600,218.55,23.76,24.99,267.3
LESB,55105,PF 37,3700,219.72,25.55,26.68,271.94
LESB,55105,PF 38,3800,221.26,28.58,29.39,279.23
LESB,55105,PF 39,3900,222.57,31.98,32.4,286.95
LESB,55105,PF 40,4000,223.71,36.04,36.2,295.96
LESB,55105,PF 41,4100,224.84,40.86,40.22,305.91
LESB,55105,PF 42,4200,225.86,45.85,44.29,316
LESB,55105,PF 43,4300,226.76,51.69,48.7,327.16
LESB,55105,PF 44,4400,227.55,57.17,53.42,338.15
LESB,55105,PF 45,4500,228.25,62.38,59.46,350.09
,,,,,,,
LESB,54849,PF 1,100,82.64,,0.72,83.36
LESB,54849,PF 2,200,94.18,0.01,0.82,95.01
LESB,54849,PF 3,300,104.65,0.15,1.01,105.82
LESB,54849,PF 4,400,112.78,0.41,1.19,114.38
LESB,54849,PF 5,500,119.59,0.74,1.37,121.7
LESB,54849,PF 6,600,126.48,1.03,1.84,129.35
LESB,54849,PF 7,700,133.73,1.14,2.08,136.95
LESB,54849,PF 8,800,139.81,1.44,2.51,143.76
LESB,54849,PF 9,900,145.37,1.78,2.86,150.02
LESB,54849,PF 10,1000,152.35,2.01,3.31,157.67
LESB,54849,PF 11,1100,157.3,2.4,3.65,163.35
LESB,54849,PF 12,1200,162.03,2.86,4.05,168.95
LESB,54849,PF 13,1300,166.18,3.42,4.52,174.12
LESB,54849,PF 14,1400,170.01,3.87,4.89,178.76
LESB,54849,PF 15,1500,173.54,4.54,5.41,183.49
LESB,54849,PF 16,1600,176.82,5.25,5.91,187.98
LESB,54849,PF 17,1700,180.11,5.92,6.46,192.5
LESB,54849,PF 18,1800,182.73,6.44,7.01,196.19
LESB,54849,PF 19,1900,185.73,7.22,7.72,200.67
LESB,54849,PF 20,2000,188.51,7.86,8.66,205.03
LESB,54849,PF 21,2100,190.75,8.66,9.24,208.64
LESB,54849,PF 22,2200,193.3,9.31,9.83,212.44
LESB,54849,PF 23,2300,196.08,10.35,10.66,217.09
LESB,54849,PF 24,2400,198.56,11.45,11.2,221.2
LESB,54849,PF 25,2500,200.56,12.57,11.86,224.99
LESB,54849,PF 26,2600,202.23,13.7,12.56,228.49
LESB,54849,PF 27,2700,203.96,14.98,13.37,232.31
LESB,54849,PF 28,2800,205.56,16.13,14.49,236.18
LESB,54849,PF 29,2900,207.05,17.04,15.58,239.67
LESB,54849,PF 30,3000,208.63,17.57,16.55,242.75
LESB,54849,PF 31,3100,210.15,18.31,17.6,246.06
LESB,54849,PF 32,3200,211.53,19.16,18.65,249.35
LESB,54849,PF 33,3300,212.94,20.03,19.6,252.56
LESB,54849,PF 34,3400,214.4,21.15,21.13,256.68
LESB,54849,PF 35,3500,215.79,22.1,23.02,260.91
LESB,54849,PF 36,3600,217.32,23.44,24.68,265.44
LESB,54849,PF 37,3700,218.48,25.22,26.36,270.06
LESB,54849,PF 38,3800,220.02,28.21,29.05,277.27
LESB,54849,PF 39,3900,221.33,31.59,32.02,284.94
LESB,54849,PF 40,4000,222.47,35.61,35.79,293.87
LESB,54849,PF 41,4100,223.58,40.37,39.76,303.72
LESB,54849,PF 42,4200,224.6,45.3,43.77,313.66
LESB,54849,PF 43,4300,225.49,51.08,48.1,324.67
LESB,54849,PF 44,4400,226.28,56.52,52.77,335.57
LESB,54849,PF 45,4500,226.98,61.63,58.78,347.38
,,,,,,,
LESB,54601,PF 1,100,82.16,,0.72,82.88
LESB,54601,PF 2,200,93.69,0.01,0.82,94.52
LESB,54601,PF 3,300,104.14,0.15,1.01,105.3
LESB,54601,PF 4,400,112.23,0.41,1.19,113.83
LESB,54601,PF 5,500,118.97,0.74,1.37,121.08
LESB,54601,PF 6,600,125.75,1.03,1.84,128.62
LESB,54601,PF 7,700,132.92,1.14,2.08,136.15
LESB,54601,PF 8,800,138.98,1.44,2.51,142.92
LESB,54601,PF 9,900,144.52,1.78,2.86,149.16
LESB,54601,PF 10,1000,151.49,2.01,3.31,156.81
LESB,54601,PF 11,1100,156.43,2.4,3.65,162.48
LESB,54601,PF 12,1200,161.15,2.86,4.05,168.06
LESB,54601,PF 13,1300,165.28,3.42,4.52,173.22
LESB,54601,PF 14,1400,169.1,3.87,4.89,177.86
LESB,54601,PF 15,1500,172.61,4.54,5.41,182.56
LESB,54601,PF 16,1600,175.86,5.25,5.91,187.02
LESB,54601,PF 17,1700,179.13,5.92,6.46,191.52
LESB,54601,PF 18,1800,181.74,6.44,7.01,195.19
LESB,54601,PF 19,1900,184.72,7.22,7.72,199.66
LESB,54601,PF 20,2000,187.48,7.86,8.66,204
LESB,54601,PF 21,2100,189.71,8.66,9.24,207.6
LESB,54601,PF 22,2200,192.25,9.31,9.83,211.38
LESB,54601,PF 23,2300,195.02,10.35,10.66,216.03
LESB,54601,PF 24,2400,197.48,11.45,11.2,220.13
LESB,54601,PF 25,2500,199.48,12.57,11.86,223.91
LESB,54601,PF 26,2600,201.13,13.7,12.56,227.39
LESB,54601,PF 27,2700,202.85,14.98,13.37,231.21
LESB,54601,PF 28,2800,204.44,16.13,14.47,235.04
LESB,54601,PF 29,2900,205.92,17.04,15.54,238.5
LESB,54601,PF 30,3000,207.5,17.57,16.49,241.57
LESB,54601,PF 31,3100,209.01,18.31,17.53,244.86
LESB,54601,PF 32,3200,210.39,19.16,18.57,248.12
LESB,54601,PF 33,3300,211.79,20.03,19.51,251.32
LESB,54601,PF 34,3400,213.24,21.15,21.02,255.42
LESB,54601,PF 35,3500,214.63,22.1,22.89,259.63
LESB,54601,PF 36,3600,216.15,23.44,24.54,264.14
LESB,54601,PF 37,3700,217.31,25.22,26.21,268.73
LESB,54601,PF 38,3800,218.83,28.21,28.89,275.93
LESB,54601,PF 39,3900,220.14,31.59,31.85,283.58
LESB,54601,PF 40,4000,221.27,35.61,35.61,292.49
LESB,54601,PF 41,4100,222.38,40.37,39.57,302.32
LESB,54601,PF 42,4200,223.39,45.26,43.54,312.19
LESB,54601,PF 43,4300,224.28,50.94,47.85,323.07
LESB,54601,PF 44,4400,225.07,56.27,52.48,333.83
LESB,54601,PF 45,4500,225.76,61.22,58.47,345.45
,,,,,,,
LESB,54436,PF 1,100,81.9,,0.72,82.62
LESB,54436,PF 2,200,93.42,0.01,0.82,94.25
LESB,54436,PF 3,300,103.85,0.15,1.01,105.02
LESB,54436,PF 4,400,111.93,0.41,1.19,113.53
LESB,54436,PF 5,500,118.61,0.74,1.37,120.72
LESB,54436,PF 6,600,125.32,1.03,1.84,128.18
LESB,54436,PF 7,700,132.42,1.14,2.08,135.65
LESB,54436,PF 8,800,138.43,1.44,2.51,142.38
LESB,54436,PF 9,900,143.96,1.78,2.86,148.6
LESB,54436,PF 10,1000,150.91,2.01,3.31,156.23
LESB,54436,PF 11,1100,155.84,2.4,3.65,161.89
LESB,54436,PF 12,1200,160.55,2.86,4.05,167.46
LESB,54436,PF 13,1300,164.67,3.42,4.52,172.62
LESB,54436,PF 14,1400,168.49,3.87,4.89,177.24
LESB,54436,PF 15,1500,171.99,4.54,5.41,181.94
LESB,54436,PF 16,1600,175.24,5.25,5.91,186.4
LESB,54436,PF 17,1700,178.5,5.92,6.46,190.88
