Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Mariposa Bypass,22294,100,6.22,3.32,0.67,3.5,2.57,0.09,0.02,0.09,0.07,94.13,87.91
Mariposa Bypass,22294,200,6.47,3.56,0.87,3.75,2.82,0.16,0.05,0.16,0.12,94.38,87.91
Mariposa Bypass,22294,300,6.68,3.76,1.03,3.96,3.03,0.23,0.07,0.23,0.18,94.59,87.91
Mariposa Bypass,22294,400,6.86,3.94,1.16,4.15,3.22,0.29,0.1,0.3,0.22,94.77,87.91
Mariposa Bypass,22294,500,7.04,4.1,1.28,4.32,3.39,0.35,0.12,0.35,0.27,94.95,87.91
Mariposa Bypass,22294,600,7.2,4.25,1.38,4.48,3.55,0.4,0.14,0.41,0.31,95.11,87.91
Mariposa Bypass,22294,700,7.35,4.39,1.47,4.64,3.71,0.45,0.17,0.46,0.35,95.26,87.91
Mariposa Bypass,22294,800,7.5,4.53,1.57,4.78,3.85,0.5,0.19,0.51,0.39,95.41,87.91
Mariposa Bypass,22294,900,7.63,4.66,1.66,4.91,3.98,0.54,0.21,0.56,0.43,95.54,87.91
Mariposa Bypass,22294,1000,7.77,4.79,1.76,5.05,4.12,0.59,0.23,0.6,0.46,95.68,87.91
Mariposa Bypass,22294,1100,17.57,12.14,10.68,14.85,13.92,0.1,0.08,0.12,0.09,105.48,87.91
Mariposa Bypass,22294,1200,17.57,12.14,10.68,14.85,13.92,0.1,0.08,0.14,0.1,105.48,87.91
Mariposa Bypass,22294,1300,17.57,12.14,10.68,14.85,13.92,0.11,0.09,0.15,0.1,105.48,87.91
Mariposa Bypass,22294,1400,17.57,12.14,10.68,14.85,13.92,0.12,0.1,0.16,0.11,105.48,87.91
Mariposa Bypass,22294,1500,17.57,12.14,10.68,14.85,13.92,0.13,0.1,0.17,0.12,105.48,87.91
Mariposa Bypass,22294,1600,17.57,12.14,10.68,14.85,13.92,0.14,0.11,0.18,0.13,105.48,87.91
Mariposa Bypass,22294,1700,17.57,12.14,10.68,14.85,13.92,0.15,0.12,0.19,0.14,105.48,87.91
Mariposa Bypass,22294,1800,17.57,12.14,10.68,14.85,13.92,0.16,0.13,0.2,0.14,105.48,87.91
Mariposa Bypass,22294,1900,17.57,12.14,10.68,14.85,13.92,0.17,0.13,0.21,0.15,105.48,87.91
Mariposa Bypass,22294,2000,17.57,12.14,10.68,14.85,13.92,0.17,0.14,0.23,0.16,105.48,87.91
Mariposa Bypass,22294,2100,17.57,12.14,10.68,14.85,13.92,0.18,0.15,0.24,0.17,105.48,87.91
Mariposa Bypass,22294,2200,17.57,12.14,10.68,14.86,13.92,0.19,0.15,0.25,0.18,105.48,87.91
Mariposa Bypass,22294,2300,17.57,12.14,10.68,14.86,13.92,0.2,0.16,0.26,0.18,105.48,87.91
Mariposa Bypass,22294,2400,17.57,12.14,10.68,14.86,13.92,0.21,0.17,0.27,0.19,105.48,87.91
Mariposa Bypass,22294,2500,17.57,12.14,10.68,14.86,13.92,0.22,0.17,0.28,0.2,105.48,87.91
Mariposa Bypass,22294,2600,17.57,12.14,10.68,14.86,13.92,0.23,0.18,0.29,0.21,105.48,87.91
Mariposa Bypass,22294,2700,17.57,12.14,10.68,14.86,13.92,0.24,0.19,0.3,0.22,105.48,87.91
Mariposa Bypass,22294,2800,17.57,12.14,10.68,14.86,13.92,0.24,0.19,0.32,0.22,105.48,87.91
Mariposa Bypass,22294,2900,17.57,12.14,10.68,14.86,13.92,0.25,0.2,0.33,0.23,105.48,87.91
Mariposa Bypass,22294,3000,17.57,12.14,10.68,14.86,13.92,0.26,0.21,0.34,0.24,105.48,87.91
Mariposa Bypass,22294,3100,17.57,12.14,10.68,14.86,13.92,0.27,0.22,0.35,0.25,105.48,87.91
Mariposa Bypass,22294,3200,17.57,12.14,10.68,14.86,13.92,0.28,0.22,0.36,0.26,105.48,87.91
Mariposa Bypass,22294,3300,17.57,12.14,10.68,14.86,13.92,0.29,0.23,0.37,0.26,105.48,87.91
Mariposa Bypass,22294,3400,17.56,12.13,10.67,14.84,13.91,0.3,0.24,0.38,0.27,105.47,87.91
Mariposa Bypass,22294,3500,17.56,12.13,10.67,14.85,13.91,0.31,0.24,0.4,0.28,105.47,87.91
Mariposa Bypass,22294,3600,17.56,12.13,10.67,14.85,13.92,0.31,0.25,0.41,0.29,105.47,87.91
Mariposa Bypass,22294,3700,17.56,12.13,10.67,14.85,13.92,0.32,0.26,0.42,0.3,105.47,87.91
