Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
Mariposa Bypass,22294,PF 1,100,58.78,0.08,0.1,58.96
Mariposa Bypass,22294,PF 2,200,66.91,0.17,0.13,67.21
Mariposa Bypass,22294,PF 3,300,73.33,0.55,0.48,74.37
Mariposa Bypass,22294,PF 4,400,75.67,0.8,1.51,77.99
Mariposa Bypass,22294,PF 5,500,77.27,1.01,2.74,81.01
Mariposa Bypass,22294,PF 6,600,78.63,1.47,3.57,83.67
Mariposa Bypass,22294,PF 7,700,79.66,1.79,5.45,86.9
Mariposa Bypass,22294,PF 8,800,80.42,2.95,7.16,90.53
Mariposa Bypass,22294,PF 9,900,81.29,5.3,8.94,95.53
Mariposa Bypass,22294,PF 10,1000,81.98,8.33,11.47,101.78
Mariposa Bypass,22294,PF 11,1100,83.09,16.5,16.53,116.13
Mariposa Bypass,22294,PF 12,1200,83.69,19.95,19.58,123.23
Mariposa Bypass,22294,PF 13,1300,84.28,23.35,24.13,131.76
Mariposa Bypass,22294,PF 14,1400,84.87,27.28,30.53,142.68
Mariposa Bypass,22294,PF 15,1500,85.41,33.28,36.1,154.78
Mariposa Bypass,22294,PF 16,1600,85.8,40.87,40.8,167.47
Mariposa Bypass,22294,PF 17,1700,86.09,50.37,46.34,182.81
Mariposa Bypass,22294,PF 18,1800,86.33,57.52,53.37,197.21
Mariposa Bypass,22294,PF 19,1900,86.5,64.13,60.57,211.2
Mariposa Bypass,22294,PF 20,2000,86.68,68.65,68.23,223.56
Mariposa Bypass,22294,PF 21,2100,86.78,73.23,75.5,235.51
Mariposa Bypass,22294,PF 22,2200,86.86,77.64,82.29,246.78
Mariposa Bypass,22294,PF 23,2300,86.94,81.37,88.11,256.42
Mariposa Bypass,22294,PF 24,2400,87.03,84.43,94.13,265.59
Mariposa Bypass,22294,PF 25,2500,87.11,86.63,100.89,274.62
Mariposa Bypass,22294,PF 26,2600,87.16,88.24,106.81,282.21
Mariposa Bypass,22294,PF 27,2700,87.19,89.6,112.38,289.16
Mariposa Bypass,22294,PF 28,2800,87.21,90.78,116.88,294.86
Mariposa Bypass,22294,PF 29,2900,87.23,91.95,121.03,300.21
Mariposa Bypass,22294,PF 30,3000,87.25,93.73,124.43,305.42
Mariposa Bypass,22294,PF 31,3100,87.26,95.25,128.01,310.53
Mariposa Bypass,22294,PF 32,3200,87.27,96.26,130.68,314.22
Mariposa Bypass,22294,PF 33,3300,87.28,96.97,132.85,317.1
Mariposa Bypass,22294,PF 34,3400,87.28,97.29,134.72,319.29
Mariposa Bypass,22294,PF 35,3500,87.29,97.98,136.09,321.35
Mariposa Bypass,22294,PF 36,3600,87.29,98.73,137.35,323.37
Mariposa Bypass,22294,PF 37,3700,87.3,99.43,138.58,325.31
Mariposa Bypass,22294,PF 38,3800,87.31,100.09,139.94,327.34
Mariposa Bypass,22294,PF 39,3900,87.31,100.51,141.15,328.97
Mariposa Bypass,22294,PF 40,4000,87.32,100.84,141.81,329.97
Mariposa Bypass,22294,PF 41,4100,87.32,101.17,142.56,331.05
Mariposa Bypass,22294,PF 42,4200,87.32,101.58,143.12,332.03
Mariposa Bypass,22294,PF 43,4300,87.32,101.99,143.54,332.85
Mariposa Bypass,22294,PF 44,4400,87.32,102.37,144.03,333.72
