Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Connect,107923,100,3.78,2.03,1.92,2.36,1.88,0.27,0.28,0.32,0.2,99.72,96.16
Connect,107923,200,4.35,2.48,2.4,2.93,2.19,0.42,0.43,0.5,0.3,100.29,96.16
Connect,107923,300,4.82,2.63,2.8,3.4,1.98,0.52,0.55,0.64,0.36,100.76,96.16
Connect,107923,400,5.15,2.5,3.11,3.73,1.58,0.61,0.66,0.76,0.42,101.09,96.16
Connect,107923,500,5.44,2.41,3.38,4.02,1.43,0.68,0.77,0.88,0.4,101.38,96.16
Connect,107923,600,5.71,2.52,3.62,4.29,1.53,0.73,0.85,0.97,0.41,101.65,96.16
Connect,107923,700,5.95,2.73,3.83,4.53,1.74,0.78,0.91,1.04,0.46,101.89,96.16
Connect,107923,800,6.16,2.93,4.02,4.74,1.94,0.83,0.97,1.1,0.51,102.1,96.16
Connect,107923,900,6.35,2.99,4.19,4.93,2,0.87,1.02,1.16,0.55,102.29,96.16
Connect,107923,1000,6.53,3.02,4.34,5.11,2.01,0.91,1.08,1.22,0.59,102.47,96.16
Connect,107923,1100,6.69,3.08,4.47,5.27,2.07,0.95,1.12,1.28,0.63,102.63,96.16
Connect,107923,1200,6.84,3.19,4.6,5.42,2.18,0.99,1.17,1.33,0.66,102.78,96.16
Connect,107923,1300,6.99,3.3,4.71,5.57,2.29,1.02,1.21,1.38,0.69,102.93,96.16
Connect,107923,1400,7.13,3.41,4.83,5.71,2.4,1.06,1.25,1.43,0.73,103.07,96.16
Connect,107923,1500,7.26,3.51,4.94,5.84,2.5,1.09,1.3,1.48,0.76,103.2,96.16
Connect,107923,1600,7.39,3.63,5.05,5.97,2.62,1.12,1.33,1.52,0.79,103.33,96.16
Connect,107923,1700,7.52,3.7,5.16,6.1,2.69,1.15,1.37,1.56,0.82,103.46,96.16
Connect,107923,1800,7.63,3.7,5.26,6.21,2.68,1.18,1.41,1.6,0.84,103.57,96.16
Connect,107923,1900,7.75,3.69,5.36,6.33,2.66,1.21,1.44,1.64,0.87,103.69,96.16
Connect,107923,2000,7.86,3.68,5.46,6.44,2.65,1.23,1.47,1.68,0.89,103.8,96.16
Connect,107923,2100,7.96,3.71,5.55,6.55,2.67,1.26,1.51,1.72,0.91,103.9,96.16
Connect,107923,2200,8.07,3.7,5.64,6.65,2.66,1.28,1.54,1.76,0.93,104.01,96.16
Connect,107923,2300,8.17,3.64,5.72,6.75,2.59,1.3,1.57,1.79,0.95,104.11,96.16
Connect,107923,2400,8.27,3.7,5.81,6.86,2.65,1.32,1.6,1.82,0.97,104.22,96.16
Connect,107923,2500,8.37,3.73,5.88,6.95,2.69,1.34,1.63,1.86,0.99,104.31,96.16
Connect,107923,2600,8.47,3.7,5.95,7.05,2.66,1.36,1.65,1.89,1,104.41,96.16
Connect,107923,2700,8.56,3.73,6.02,7.14,2.69,1.38,1.69,1.93,1.01,104.5,96.16
Connect,107923,2800,8.65,3.8,6.09,7.23,2.77,1.4,1.71,1.96,1.02,104.59,96.16
Connect,107923,2900,8.74,3.87,6.15,7.32,2.83,1.41,1.73,1.99,1.04,104.68,96.16
Connect,107923,3000,8.83,3.92,6.22,7.41,2.89,1.43,1.76,2.02,1.06,104.77,96.16
Connect,107923,3100,8.91,3.97,6.28,7.49,2.94,1.45,1.78,2.04,1.07,104.85,96.16
Connect,107923,3200,8.99,4.02,6.34,7.58,2.99,1.46,1.8,2.07,1.09,104.93,96.16
Connect,107923,3300,9.08,4.07,6.39,7.66,3.04,1.48,1.82,2.1,1.1,105.02,96.16
Connect,107923,3400,9.16,4.11,6.34,7.74,3.1,1.49,1.83,2.13,1.12,105.1,96.16
Connect,107923,3500,9.24,4.13,6.3,7.82,3.13,1.51,1.84,2.16,1.14,105.18,96.16
Connect,107923,3600,9.31,4.18,6.3,7.89,3.19,1.52,1.85,2.19,1.16,105.25,96.16
Connect,107923,3700,9.39,4.24,6.36,7.97,3.25,1.54,1.87,2.21,1.17,105.33,96.16
Connect,107923,3800,9.46,4.3,6.42,8.04,3.31,1.55,1.89,2.24,1.18,105.4,96.16
Connect,107923,3900,9.53,4.35,6.48,8.12,3.36,1.56,1.91,2.26,1.2,105.47,96.16
Connect,107923,4000,9.61,4.41,6.54,8.19,3.42,1.58,1.93,2.28,1.21,105.55,96.16
Connect,107923,4100,9.68,4.46,6.6,8.26,3.48,1.59,1.94,2.3,1.22,105.62,96.16
Connect,107923,4200,9.75,4.52,6.65,8.33,3.53,1.6,1.96,2.32,1.24,105.69,96.16
Connect,107923,4300,9.82,4.57,6.71,8.4,3.58,1.62,1.98,2.35,1.25,105.76,96.16
Connect,107923,4400,9.89,4.62,6.76,8.47,3.64,1.63,2,2.37,1.26,105.83,96.16
Connect,107923,4500,9.96,4.67,6.82,8.54,3.68,1.64,2.01,2.39,1.27,105.9,96.16
,,,,,,,,,,,,,
Connect,107716,100,2.98,2,,2,,0.32,,0.32,,99.71,96.73
Connect,107716,200,3.55,2.43,,2.43,,0.49,,0.49,,100.28,96.73
Connect,107716,300,4.01,2.76,,2.76,,0.61,,0.61,,100.74,96.73
Connect,107716,400,4.34,3.04,,3.04,,0.73,,0.73,,101.07,96.73
Connect,107716,500,4.63,3.28,,3.28,,0.83,,0.83,,101.36,96.73
Connect,107716,600,4.89,3.47,,3.47,,0.92,,0.92,,101.62,96.73
Connect,107716,700,5.13,3.68,,3.68,,1.01,,1.01,,101.86,96.73
Connect,107716,800,5.34,3.86,,3.86,,1.09,,1.09,,102.07,96.73
Connect,107716,900,5.52,4.02,,4.02,,1.17,,1.17,,102.25,96.73
Connect,107716,1000,5.7,4.17,,4.17,,1.24,,1.24,,102.43,96.73
Connect,107716,1100,5.86,4.31,,4.31,,1.32,,1.32,,102.59,96.73
Connect,107716,1200,6.01,4.44,,4.44,,1.39,,1.39,,102.74,96.73
Connect,107716,1300,6.15,4.54,,4.55,0.01,1.46,,1.46,0.02,102.88,96.73
Connect,107716,1400,6.28,4.51,,4.66,0.06,1.52,,1.52,0.07,103.01,96.73
Connect,107716,1500,6.41,4.38,,4.77,0.11,1.59,,1.59,0.1,103.14,96.73
Connect,107716,1600,6.54,4.35,,4.87,0.18,1.64,,1.65,0.14,103.27,96.73
Connect,107716,1700,6.66,4.32,,4.99,0.25,1.7,,1.71,0.18,103.39,96.73
Connect,107716,1800,6.78,4.22,,5.09,0.28,1.75,,1.77,0.21,103.51,96.73
