Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Rch1A_Simplified,784246,100,12.74,4.84,,4.84,,0.16,,0.16,,304.39,291.65
Rch1A_Simplified,784246,200,13.13,5.21,,5.21,,0.3,,0.3,,304.78,291.65
Rch1A_Simplified,784246,300,13.47,5.47,,5.47,,0.43,,0.43,,305.12,291.65
Rch1A_Simplified,784246,400,13.75,5.68,,5.68,,0.54,,0.54,,305.4,291.65
Rch1A_Simplified,784246,500,14.02,5.86,,5.86,,0.65,,0.65,,305.67,291.65
Rch1A_Simplified,784246,600,14.27,6.04,,6.04,,0.74,,0.74,,305.92,291.65
Rch1A_Simplified,784246,700,14.5,6.2,,6.2,,0.83,,0.83,,306.15,291.65
Rch1A_Simplified,784246,800,14.73,6.36,,6.36,,0.92,,0.92,,306.38,291.65
Rch1A_Simplified,784246,900,14.95,6.52,,6.52,,1,,1,,306.6,291.65
Rch1A_Simplified,784246,1000,15.16,6.69,,6.69,,1.08,,1.08,,306.81,291.65
Rch1A_Simplified,784246,1100,15.36,6.84,,6.84,,1.15,,1.15,,307.01,291.65
Rch1A_Simplified,784246,1200,15.55,6.99,,6.99,,1.22,,1.22,,307.2,291.65
Rch1A_Simplified,784246,1300,15.74,7.14,,7.14,,1.29,,1.29,,307.39,291.65
Rch1A_Simplified,784246,1400,15.92,7.28,,7.28,,1.35,,1.35,,307.57,291.65
Rch1A_Simplified,784246,1500,16.1,7.41,,7.41,,1.41,,1.41,,307.75,291.65
Rch1A_Simplified,784246,1600,16.26,7.54,,7.54,,1.47,,1.47,,307.91,291.65
Rch1A_Simplified,784246,1700,16.43,7.67,,7.67,,1.53,,1.53,,308.08,291.65
Rch1A_Simplified,784246,1800,16.62,7.81,,7.81,,1.58,,1.58,,308.27,291.65
Rch1A_Simplified,784246,1900,16.76,7.92,,7.92,,1.64,,1.64,,308.41,291.65
Rch1A_Simplified,784246,2000,16.9,8.02,,8.02,,1.7,,1.7,,308.55,291.65
Rch1A_Simplified,784246,2100,17.03,8.12,,8.12,,1.75,,1.75,,308.68,291.65
Rch1A_Simplified,784246,2200,17.16,8.1,,8.22,0.02,1.81,,1.81,0.04,308.81,291.65
Rch1A_Simplified,784246,2300,17.29,7.88,,8.32,0.09,1.86,,1.86,0.09,308.94,291.65
Rch1A_Simplified,784246,2400,17.42,7.68,,8.41,0.15,1.91,,1.91,0.14,309.07,291.65
Rch1A_Simplified,784246,2500,17.55,7.5,0.04,8.52,0.22,1.95,0.07,1.96,0.18,309.2,291.65
Rch1A_Simplified,784246,2600,17.68,7.44,0.1,8.64,0.3,2,0.14,2.01,0.22,309.33,291.65
Rch1A_Simplified,784246,2700,17.8,7.43,0.16,8.76,0.39,2.04,0.19,2.06,0.27,309.45,291.65
Rch1A_Simplified,784246,2800,17.91,7.43,0.22,8.87,0.47,2.08,0.24,2.1,0.31,309.56,291.65
Rch1A_Simplified,784246,2900,18.03,7.49,0.27,8.99,0.58,2.13,0.29,2.15,0.36,309.68,291.65
Rch1A_Simplified,784246,3000,18.14,7.56,0.33,9.1,0.68,2.17,0.33,2.19,0.4,309.79,291.65
Rch1A_Simplified,784246,3100,18.26,7.62,0.39,9.22,0.78,2.2,0.37,2.24,0.45,309.91,291.65
Rch1A_Simplified,784246,3200,18.37,7.69,0.45,9.33,0.87,2.24,0.41,2.28,0.49,310.02,291.65
Rch1A_Simplified,784246,3300,18.48,7.75,0.5,9.44,0.96,2.28,0.45,2.32,0.53,310.13,291.65
Rch1A_Simplified,784246,3400,18.59,7.78,0.56,9.55,1.03,2.32,0.49,2.36,0.56,310.24,291.65
Rch1A_Simplified,784246,3500,18.7,7.67,0.61,9.65,1,2.35,0.52,2.4,0.58,310.35,291.65
Rch1A_Simplified,784246,3600,18.8,7.47,0.66,9.76,0.93,2.39,0.56,2.44,0.6,310.45,291.65
Rch1A_Simplified,784246,3700,18.91,7.42,0.71,9.86,0.96,2.42,0.59,2.48,0.62,310.56,291.65
Rch1A_Simplified,784246,3800,19.01,7.36,0.77,9.97,0.99,2.45,0.63,2.52,0.57,310.66,291.65
Rch1A_Simplified,784246,3900,19.12,7.37,0.82,10.07,1.05,2.48,0.66,2.56,0.61,310.77,291.65
Rch1A_Simplified,784246,4000,19.22,7.38,0.87,10.17,1.11,2.51,0.69,2.59,0.64,310.87,291.65
Rch1A_Simplified,784246,4100,19.32,7.34,0.91,10.27,1.14,2.53,0.72,2.63,0.67,310.97,291.65
Rch1A_Simplified,784246,4200,19.41,7.27,0.96,10.37,1.16,2.56,0.75,2.66,0.7,311.06,291.65
Rch1A_Simplified,784246,4300,19.51,7.29,1,10.47,1.22,2.59,0.78,2.7,0.73,311.16,291.65
Rch1A_Simplified,784246,4400,19.6,7.31,1.05,10.56,1.28,2.61,0.8,2.73,0.76,311.25,291.65
Rch1A_Simplified,784246,4500,19.7,7.33,1.09,10.65,1.34,2.64,0.83,2.77,0.78,311.35,291.65
,,,,,,,,,,,,,
Rch1A_Simplified,783992,100,13.46,8.68,,8.68,,0.17,,0.17,,304.39,290.93
Rch1A_Simplified,783992,200,13.85,8.83,,8.83,,0.32,,0.32,,304.78,290.93
Rch1A_Simplified,783992,300,14.18,8.93,,8.93,,0.46,,0.46,,305.11,290.93
Rch1A_Simplified,783992,400,14.46,9.02,,9.02,,0.6,,0.6,,305.39,290.93
Rch1A_Simplified,783992,500,14.72,9.15,,9.15,,0.73,,0.73,,305.65,290.93
Rch1A_Simplified,783992,600,14.97,9.26,,9.26,,0.85,,0.85,,305.9,290.93
Rch1A_Simplified,783992,700,15.2,9.32,,9.32,,0.97,,0.97,,306.13,290.93
Rch1A_Simplified,783992,800,15.42,9.38,,9.38,,1.08,,1.08,,306.35,290.93
Rch1A_Simplified,783992,900,15.63,9.43,,9.43,,1.19,,1.19,,306.56,290.93
Rch1A_Simplified,783992,1000,15.83,9.49,,9.49,,1.29,,1.29,,306.76,290.93
Rch1A_Simplified,783992,1100,16.02,9.54,,9.54,,1.4,,1.4,,306.95,290.93
Rch1A_Simplified,783992,1200,16.21,9.58,,9.58,,1.49,,1.49,,307.14,290.93
Rch1A_Simplified,783992,1300,16.39,9.6,,9.6,,1.59,,1.59,,307.32,290.93
Rch1A_Simplified,783992,1400,16.56,9.62,,9.62,,1.68,,1.68,,307.49,290.93
Rch1A_Simplified,783992,1500,16.73,9.65,,9.65,,1.77,,1.77,,307.66,290.93
Rch1A_Simplified,783992,1600,16.89,9.67,,9.67,,1.85,,1.85,,307.82,290.93
Rch1A_Simplified,783992,1700,17.05,9.7,,9.7,,1.94,,1.94,,307.98,290.93
Rch1A_Simplified,783992,1800,17.23,9.73,,9.73,,2.01,,2.01,,308.16,290.93
Rch1A_Simplified,783992,1900,17.37,9.75,,9.75,,2.1,,2.1,,308.3,290.93
