Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Rch1_Simplified,658388,100,5.59,1.56,,1.56,,1.22,,1.22,,222.07,216.48
Rch1_Simplified,658388,200,6.26,2.08,,2.08,,1.68,,1.68,,222.74,216.48
Rch1_Simplified,658388,300,6.73,2.41,,2.41,,2.05,,2.05,,223.21,216.48
Rch1_Simplified,658388,400,7.28,2.52,,2.52,,2.2,,2.2,,223.76,216.48
Rch1_Simplified,658388,500,7.74,2.84,,2.84,,2.32,,2.32,,224.22,216.48
Rch1_Simplified,658388,600,8.12,3.17,,3.17,,2.45,,2.45,,224.6,216.48
Rch1_Simplified,658388,700,8.53,3.5,,3.5,,2.53,,2.53,,225.01,216.48
Rch1_Simplified,658388,800,8.87,3.76,,3.76,,2.63,,2.63,,225.35,216.48
Rch1_Simplified,658388,900,9.22,3.49,,3.49,,2.68,,2.68,,225.7,216.48
Rch1_Simplified,658388,1000,9.5,3.54,,3.54,,2.75,,2.75,,225.98,216.48
Rch1_Simplified,658388,1100,9.75,3.74,,3.74,,2.83,,2.83,,226.23,216.48
Rch1_Simplified,658388,1200,9.98,3.92,,3.92,,2.9,,2.9,,226.46,216.48
Rch1_Simplified,658388,1300,10.19,3.45,,4.06,0.09,2.97,,2.98,0.23,226.67,216.48
Rch1_Simplified,658388,1400,10.38,2.68,,4.26,0.15,3,,3.06,0.35,226.86,216.48
Rch1_Simplified,658388,1500,10.76,1.95,,2.53,0.48,2.68,,2.82,0.88,227.24,216.48
Rch1_Simplified,658388,1600,10.92,2.09,,2.69,0.63,2.64,,2.79,1,227.4,216.48
Rch1_Simplified,658388,1700,11.08,2.23,,2.83,0.78,2.6,,2.78,1.1,227.56,216.48
