Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
Rch1_Simplified,658388,PF 1,100,165.66,10.9,34.34,210.89
Rch1_Simplified,658388,PF 2,200,179.7,13.76,41.32,234.79
Rch1_Simplified,658388,PF 3,300,194.22,16.39,50.72,261.33
Rch1_Simplified,658388,PF 4,400,207.94,20.21,63.74,291.89
Rch1_Simplified,658388,PF 5,500,220.85,26.53,76.25,323.62
Rch1_Simplified,658388,PF 6,600,233.22,33.9,89.79,356.91
Rch1_Simplified,658388,PF 7,700,246.11,43.94,102.63,392.67
Rch1_Simplified,658388,PF 8,800,255.01,53.75,114.88,423.64
Rch1_Simplified,658388,PF 9,900,262.46,64.98,126.8,454.24
Rch1_Simplified,658388,PF 10,1000,268.73,75,137.58,481.31
Rch1_Simplified,658388,PF 11,1100,274.87,84.5,148.25,507.63
Rch1_Simplified,658388,PF 12,1200,280.2,95.5,158.69,534.39
Rch1_Simplified,658388,PF 13,1300,283.2,103.3,168.63,555.13
Rch1_Simplified,658388,PF 14,1400,285.44,111.09,176.65,573.17
Rch1_Simplified,658388,PF 15,1500,287.31,118.12,183.81,589.24
Rch1_Simplified,658388,PF 16,1600,288.76,124.63,190.83,604.23
Rch1_Simplified,658388,PF 17,1700,290.04,131.1,198.08,619.22
Rch1_Simplified,658388,PF 18,1800,291.02,138.13,207.54,636.69
Rch1_Simplified,658388,PF 19,1900,291.78,144.39,216.02,652.19
Rch1_Simplified,658388,PF 20,2000,292.35,150.86,224.48,667.68
Rch1_Simplified,658388,PF 21,2100,292.83,156.77,233.04,682.64
Rch1_Simplified,658388,PF 22,2200,293.21,162.1,241.5,696.81
Rch1_Simplified,658388,PF 23,2300,293.53,168.13,249.77,711.43
Rch1_Simplified,658388,PF 24,2400,293.82,173.51,257.68,725.02
Rch1_Simplified,658388,PF 25,2500,294.11,179.57,265.7,739.37
Rch1_Simplified,658388,PF 26,2600,294.36,185.32,273.75,753.44
Rch1_Simplified,658388,PF 27,2700,294.61,190.05,281.52,766.18
Rch1_Simplified,658388,PF 28,2800,294.81,195.37,288.19,778.37
Rch1_Simplified,658388,PF 29,2900,295,201.11,294.63,790.74
Rch1_Simplified,658388,PF 30,3000,295.15,206.28,301.08,802.51
Rch1_Simplified,658388,PF 31,3100,295.31,211.27,306.58,813.15
Rch1_Simplified,658388,PF 32,3200,295.41,215.76,312.96,824.13
Rch1_Simplified,658388,PF 33,3300,295.5,221.64,318.81,835.95
Rch1_Simplified,658388,PF 34,3400,295.57,226.36,324.87,846.8
Rch1_Simplified,658388,PF 35,3500,295.64,231.67,330.45,857.76
Rch1_Simplified,658388,PF 36,3600,295.7,236.37,336.48,868.55
Rch1_Simplified,658388,PF 37,3700,295.76,242.68,342.63,881.07
Rch1_Simplified,658388,PF 38,3800,295.83,247.49,349.07,892.39
Rch1_Simplified,658388,PF 39,3900,295.87,252.34,352.22,900.42
Rch1_Simplified,658388,PF 40,4000,295.91,256.49,358.01,910.4
Rch1_Simplified,658388,PF 41,4100,295.94,260.87,363.34,920.15
Rch1_Simplified,658388,PF 42,4200,295.98,265.08,368.47,929.53
Rch1_Simplified,658388,PF 43,4300,296.01,268.93,374.02,938.96
Rch1_Simplified,658388,PF 44,4400,296.03,272.74,378.61,947.39
Rch1_Simplified,658388,PF 45,4500,296.06,276.67,383.73,956.46
,,,,,,,
Rch1_Simplified,658212,PF 1,100,165.31,10.9,34.34,210.54
Rch1_Simplified,658212,PF 2,200,179.34,13.76,41.32,234.42
Rch1_Simplified,658212,PF 3,300,193.84,16.39,50.72,260.95
Rch1_Simplified,658212,PF 4,400,207.53,20.21,63.73,291.47
Rch1_Simplified,658212,PF 5,500,220.41,26.51,76.2,323.13
Rch1_Simplified,658212,PF 6,600,232.77,33.87,89.67,356.31
Rch1_Simplified,658212,PF 7,700,245.66,43.9,102.46,392.01
Rch1_Simplified,658212,PF 8,800,254.54,53.64,114.69,422.87
Rch1_Simplified,658212,PF 9,900,261.96,64.76,126.6,453.31
Rch1_Simplified,658212,PF 10,1000,268.21,74.74,137.37,480.32
Rch1_Simplified,658212,PF 11,1100,274.34,84.2,148.04,506.57
Rch1_Simplified,658212,PF 12,1200,279.65,95.16,158.47,533.29
Rch1_Simplified,658212,PF 13,1300,282.64,102.96,168.36,553.96
Rch1_Simplified,658212,PF 14,1400,284.88,110.74,176.28,571.9
Rch1_Simplified,658212,PF 15,1500,286.74,117.77,183.4,587.91
Rch1_Simplified,658212,PF 16,1600,288.19,124.28,190.4,602.87
Rch1_Simplified,658212,PF 17,1700,289.46,130.75,197.64,617.85
Rch1_Simplified,658212,PF 18,1800,290.44,137.77,207.09,635.31
