Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
Rch2A_RM228.8,580899,PF 1,100,207.34,4.28,4.66,216.28
Rch2A_RM228.8,580899,PF 2,200,249.35,5.12,5.24,259.7
Rch2A_RM228.8,580899,PF 3,300,278.32,5.66,5.96,289.94
Rch2A_RM228.8,580899,PF 4,400,304.95,6.08,6.76,317.79
Rch2A_RM228.8,580899,PF 5,500,326.32,6.51,7.26,340.1
Rch2A_RM228.8,580899,PF 6,600,349.68,7.3,7.67,364.66
Rch2A_RM228.8,580899,PF 7,700,369.96,7.81,8.27,386.03
Rch2A_RM228.8,580899,PF 8,800,381.92,8.14,9.05,399.11
Rch2A_RM228.8,580899,PF 9,900,396.74,8.64,9.85,415.23
Rch2A_RM228.8,580899,PF 10,1000,410,9.36,10.32,429.69
Rch2A_RM228.8,580899,PF 11,1100,422.4,9.88,10.88,443.16
Rch2A_RM228.8,580899,PF 12,1200,434.48,10.47,11.76,456.71
Rch2A_RM228.8,580899,PF 13,1300,443.42,10.9,13.01,467.34
Rch2A_RM228.8,580899,PF 14,1400,452.93,11.35,14.28,478.57
Rch2A_RM228.8,580899,PF 15,1500,463.83,11.8,15.26,490.9
Rch2A_RM228.8,580899,PF 16,1600,474.22,12.34,16.08,502.64
Rch2A_RM228.8,580899,PF 17,1700,483.11,13.03,17.13,513.27
Rch2A_RM228.8,580899,PF 18,1800,490.09,13.75,17.93,521.77
Rch2A_RM228.8,580899,PF 19,1900,498.63,14.55,18.95,532.12
Rch2A_RM228.8,580899,PF 20,2000,506.8,15.38,20.17,542.34
Rch2A_RM228.8,580899,PF 21,2100,514.34,15.89,21.04,551.27
Rch2A_RM228.8,580899,PF 22,2200,521.74,16.76,22.23,560.73
Rch2A_RM228.8,580899,PF 23,2300,529.31,17.79,23.59,570.7
Rch2A_RM228.8,580899,PF 24,2400,535.47,18.91,24.97,579.35
Rch2A_RM228.8,580899,PF 25,2500,541.36,19.84,26.38,587.58
Rch2A_RM228.8,580899,PF 26,2600,547,20.63,27.98,595.61
Rch2A_RM228.8,580899,PF 27,2700,552.18,21.6,29.86,603.64
Rch2A_RM228.8,580899,PF 28,2800,556.52,22.68,32.11,611.31
Rch2A_RM228.8,580899,PF 29,2900,560.62,23.99,34.1,618.72
Rch2A_RM228.8,580899,PF 30,3000,564.29,25.33,36.34,625.95
Rch2A_RM228.8,580899,PF 31,3100,568.21,26.61,38.8,633.62
Rch2A_RM228.8,580899,PF 32,3200,571.92,28.09,42.04,642.06
Rch2A_RM228.8,580899,PF 33,3300,576.22,29.81,45.68,651.71
Rch2A_RM228.8,580899,PF 34,3400,579.94,31.5,49.69,661.13
Rch2A_RM228.8,580899,PF 35,3500,583.45,33.55,53.93,670.94
Rch2A_RM228.8,580899,PF 36,3600,587.27,35.14,58.24,680.65
Rch2A_RM228.8,580899,PF 37,3700,591.29,36.76,62.09,690.14
Rch2A_RM228.8,580899,PF 38,3800,594.55,38.4,66.49,699.44
Rch2A_RM228.8,580899,PF 39,3900,597.37,40.05,71.21,708.63
Rch2A_RM228.8,580899,PF 40,4000,600.11,41.58,75.99,717.68
Rch2A_RM228.8,580899,PF 41,4100,602.63,43.5,80.53,726.66
Rch2A_RM228.8,580899,PF 42,4200,605.02,44.86,85.43,735.31
Rch2A_RM228.8,580899,PF 43,4300,607.71,46.12,89.99,743.81
Rch2A_RM228.8,580899,PF 44,4400,610.4,47.53,95.1,753.04
Rch2A_RM228.8,580899,PF 45,4500,612.68,48.97,101.25,762.9
,,,,,,,
Rch2A_RM228.8,580452,PF 1,100,206.56,4.28,4.66,215.5
Rch2A_RM228.8,580452,PF 2,200,248.34,5.12,5.24,258.7
Rch2A_RM228.8,580452,PF 3,300,277.08,5.66,5.96,288.7
Rch2A_RM228.8,580452,PF 4,400,303.63,6.08,6.76,316.47
Rch2A_RM228.8,580452,PF 5,500,324.96,6.51,7.26,338.73
Rch2A_RM228.8,580452,PF 6,600,348.28,7.3,7.67,363.25
Rch2A_RM228.8,580452,PF 7,700,368.54,7.79,8.27,384.6
Rch2A_RM228.8,580452,PF 8,800,380.49,8.11,9.05,397.66
Rch2A_RM228.8,580452,PF 9,900,395.3,8.6,9.85,413.75
Rch2A_RM228.8,580452,PF 10,1000,408.56,9.27,10.32,428.14
Rch2A_RM228.8,580452,PF 11,1100,420.94,9.71,10.88,441.54
Rch2A_RM228.8,580452,PF 12,1200,433.01,10.26,11.75,455.03
Rch2A_RM228.8,580452,PF 13,1300,441.95,10.64,12.99,465.57
Rch2A_RM228.8,580452,PF 14,1400,451.45,11,14.25,476.7
Rch2A_RM228.8,580452,PF 15,1500,462.34,11.35,15.2,488.9
Rch2A_RM228.8,580452,PF 16,1600,472.72,11.79,16.01,500.52
Rch2A_RM228.8,580452,PF 17,1700,481.6,12.37,17.05,511.02
Rch2A_RM228.8,580452,PF 18,1800,488.56,12.9,17.84,519.3
Rch2A_RM228.8,580452,PF 19,1900,497.07,13.57,18.85,529.49
Rch2A_RM228.8,580452,PF 20,2000,505.22,14.27,20.05,539.54
Rch2A_RM228.8,580452,PF 21,2100,512.76,14.77,20.92,548.45
Rch2A_RM228.8,580452,PF 22,2200,520.14,15.55,22.09,557.78
Rch2A_RM228.8,580452,PF 23,2300,527.7,16.53,23.43,567.67
Rch2A_RM228.8,580452,PF 24,2400,533.85,17.58,24.8,576.22
Rch2A_RM228.8,580452,PF 25,2500,539.7,18.39,26.19,584.29
Rch2A_RM228.8,580452,PF 26,2600,545.32,19.08,27.76,592.16
Rch2A_RM228.8,580452,PF 27,2700,550.46,19.9,29.63,599.99
Rch2A_RM228.8,580452,PF 28,2800,554.79,20.85,31.85,607.49
Rch2A_RM228.8,580452,PF 29,2900,558.89,22.05,33.82,614.77
Rch2A_RM228.8,580452,PF 30,3000,562.54,23.31,36.04,621.9
Rch2A_RM228.8,580452,PF 31,3100,566.44,24.5,38.49,629.44
Rch2A_RM228.8,580452,PF 32,3200,570.14,25.9,41.72,637.76
Rch2A_RM228.8,580452,PF 33,3300,574.4,27.53,45.31,647.24
Rch2A_RM228.8,580452,PF 34,3400,578.08,29.14,49.29,656.51
Rch2A_RM228.8,580452,PF 35,3500,581.57,31.12,53.47,666.16
Rch2A_RM228.8,580452,PF 36,3600,585.37,32.63,57.73,675.73
Rch2A_RM228.8,580452,PF 37,3700,589.38,34.14,61.5,685.02
Rch2A_RM228.8,580452,PF 38,3800,592.63,35.69,65.83,694.15
Rch2A_RM228.8,580452,PF 39,3900,595.44,37.28,70.5,703.22
Rch2A_RM228.8,580452,PF 40,4000,598.17,38.77,75.26,712.19
Rch2A_RM228.8,580452,PF 41,4100,600.68,40.63,79.75,721.06
Rch2A_RM228.8,580452,PF 42,4200,603.06,41.9,84.6,729.55
Rch2A_RM228.8,580452,PF 43,4300,605.74,43.1,89.09,737.93
Rch2A_RM228.8,580452,PF 44,4400,608.43,44.47,94.17,747.07
Rch2A_RM228.8,580452,PF 45,4500,610.7,45.9,100.25,756.85
,,,,,,,
Rch2A_RM228.8,580024,PF 1,100,205.99,4.28,4.66,214.93
Rch2A_RM228.8,580024,PF 2,200,247.55,5.12,5.24,257.91
Rch2A_RM228.8,580024,PF 3,300,276.08,5.66,5.96,287.69
Rch2A_RM228.8,580024,PF 4,400,302.53,6.06,6.76,315.35
Rch2A_RM228.8,580024,PF 5,500,323.75,6.46,7.26,337.48
Rch2A_RM228.8,580024,PF 6,600,346.96,7.23,7.67,361.86
Rch2A_RM228.8,580024,PF 7,700,367.18,7.7,8.27,383.15
Rch2A_RM228.8,580024,PF 8,800,379.11,8.01,8.96,396.08
Rch2A_RM228.8,580024,PF 9,900,393.89,8.46,9.67,412.01
Rch2A_RM228.8,580024,PF 10,1000,407.11,9.09,10.1,426.3
Rch2A_RM228.8,580024,PF 11,1100,419.47,9.52,10.64,439.63
Rch2A_RM228.8,580024,PF 12,1200,431.5,10.06,11.49,453.06
Rch2A_RM228.8,580024,PF 13,1300,440.39,10.41,12.71,463.51
Rch2A_RM228.8,580024,PF 14,1400,449.84,10.73,13.96,474.53
Rch2A_RM228.8,580024,PF 15,1500,460.68,11.02,14.88,486.58
Rch2A_RM228.8,580024,PF 16,1600,471.04,11.38,15.68,498.1
Rch2A_RM228.8,580024,PF 17,1700,479.91,11.88,16.7,508.49
Rch2A_RM228.8,580024,PF 18,1800,486.83,12.3,17.46,516.59
Rch2A_RM228.8,580024,PF 19,1900,495.31,12.89,18.43,526.63
Rch2A_RM228.8,580024,PF 20,2000,503.42,13.49,19.55,536.46
Rch2A_RM228.8,580024,PF 21,2100,510.98,13.99,20.44,545.42
Rch2A_RM228.8,580024,PF 22,2200,518.29,14.71,21.54,554.54
Rch2A_RM228.8,580024,PF 23,2300,525.79,15.66,22.82,564.26
Rch2A_RM228.8,580024,PF 24,2400,531.87,16.65,24.13,572.65
Rch2A_RM228.8,580024,PF 25,2500,537.69,17.4,25.48,580.57
Rch2A_RM228.8,580024,PF 26,2600,543.29,18.04,27.03,588.35
Rch2A_RM228.8,580024,PF 27,2700,548.41,18.83,28.87,596.1
Rch2A_RM228.8,580024,PF 28,2800,552.72,19.76,31.02,603.5
Rch2A_RM228.8,580024,PF 29,2900,556.8,20.94,32.94,610.69
Rch2A_RM228.8,580024,PF 30,3000,560.45,22.18,35.12,617.75
Rch2A_RM228.8,580024,PF 31,3100,564.34,23.32,37.54,625.2
Rch2A_RM228.8,580024,PF 32,3200,568.01,24.69,40.71,633.41
Rch2A_RM228.8,580024,PF 33,3300,572.24,26.27,44.23,642.73
Rch2A_RM228.8,580024,PF 34,3400,575.89,27.85,48.16,651.9
Rch2A_RM228.8,580024,PF 35,3500,579.36,29.78,52.26,661.41
Rch2A_RM228.8,580024,PF 36,3600,583.15,31.25,56.38,670.78
Rch2A_RM228.8,580024,PF 37,3700,587.16,32.72,59.98,679.86
Rch2A_RM228.8,580024,PF 38,3800,590.4,34.22,64.17,688.79
Rch2A_RM228.8,580024,PF 39,3900,593.21,35.78,68.71,697.7
Rch2A_RM228.8,580024,PF 40,4000,595.93,37.23,73.39,706.55
Rch2A_RM228.8,580024,PF 41,4100,598.44,39.05,77.79,715.27
Rch2A_RM228.8,580024,PF 42,4200,600.81,40.29,82.53,723.63
Rch2A_RM228.8,580024,PF 43,4300,603.49,41.47,86.9,731.86
Rch2A_RM228.8,580024,PF 44,4400,606.18,42.83,91.87,740.88
Rch2A_RM228.8,580024,PF 45,4500,608.45,44.25,97.82,750.52
,,,,,,,
Rch2A_RM228.8,579531,PF 1,100,205.25,4.28,4.66,214.19
Rch2A_RM228.8,579531,PF 2,200,246.59,5.12,5.24,256.95
Rch2A_RM228.8,579531,PF 3,300,274.98,5.66,5.96,286.6
Rch2A_RM228.8,579531,PF 4,400,301.39,6.02,6.73,314.14
Rch2A_RM228.8,579531,PF 5,500,322.5,6.39,7.21,336.1
Rch2A_RM228.8,579531,PF 6,600,345.58,7.12,7.61,360.31
Rch2A_RM228.8,579531,PF 7,700,365.76,7.58,8.2,381.53
Rch2A_RM228.8,579531,PF 8,800,377.66,7.86,8.79,394.32
Rch2A_RM228.8,579531,PF 9,900,392.41,8.25,9.4,410.06
Rch2A_RM228.8,579531,PF 10,1000,405.6,8.84,9.78,424.22
