Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Rch2B-3_RM216.1,455740,100,4.44,4.44,,4.44,,0.07,,0.07,,143.04,138.6
Rch2B-3_RM216.1,455740,200,4.59,4.59,,4.59,,0.13,,0.13,,143.19,138.6
Rch2B-3_RM216.1,455740,300,4.71,4.71,,4.71,,0.19,,0.19,,143.31,138.6
Rch2B-3_RM216.1,455740,400,4.81,4.81,,4.81,,0.25,,0.25,,143.41,138.6
Rch2B-3_RM216.1,455740,500,4.91,4.91,,4.91,,0.3,,0.3,,143.51,138.6
Rch2B-3_RM216.1,455740,600,5,5,,5,,0.36,,0.36,,143.6,138.6
Rch2B-3_RM216.1,455740,700,5.09,5.09,,5.09,,0.41,,0.41,,143.69,138.6
Rch2B-3_RM216.1,455740,800,5.17,5.17,,5.17,,0.46,,0.46,,143.77,138.6
Rch2B-3_RM216.1,455740,900,5.26,5.26,,5.26,,0.51,,0.51,,143.86,138.6
Rch2B-3_RM216.1,455740,1000,5.57,5.57,,5.57,,0.54,,0.54,,144.17,138.6
Rch2B-3_RM216.1,455740,1100,5.92,5.92,,5.92,,0.55,,0.55,,144.52,138.6
Rch2B-3_RM216.1,455740,1200,6.25,6.25,,6.25,,0.57,,0.57,,144.85,138.6
Rch2B-3_RM216.1,455740,1300,6.57,6.57,,6.57,,0.59,,0.59,,145.17,138.6
Rch2B-3_RM216.1,455740,1400,6.88,6.88,,6.88,,0.61,,0.61,,145.48,138.6
Rch2B-3_RM216.1,455740,1500,7.2,7.2,,7.2,,0.62,,0.62,,145.8,138.6
Rch2B-3_RM216.1,455740,1600,7.5,7.5,,7.5,,0.64,,0.64,,146.1,138.6
Rch2B-3_RM216.1,455740,1700,7.78,7.78,,7.78,,0.65,,0.65,,146.38,138.6
Rch2B-3_RM216.1,455740,1800,8.05,8.05,,8.05,,0.67,,0.67,,146.65,138.6
Rch2B-3_RM216.1,455740,1900,8.32,8.32,,8.32,,0.68,,0.68,,146.92,138.6
Rch2B-3_RM216.1,455740,2000,8.57,8.57,,8.57,,0.7,,0.7,,147.17,138.6
Rch2B-3_RM216.1,455740,2100,8.81,8.81,,8.81,,0.71,,0.71,,147.41,138.6
Rch2B-3_RM216.1,455740,2200,9.05,9.05,,9.05,,0.73,,0.73,,147.65,138.6
Rch2B-3_RM216.1,455740,2300,9.29,9.29,,9.29,,0.74,,0.74,,147.89,138.6
Rch2B-3_RM216.1,455740,2400,9.54,9.54,,9.54,,0.75,,0.75,,148.14,138.6
Rch2B-3_RM216.1,455740,2500,9.76,9.76,,9.76,,0.76,,0.76,,148.36,138.6
Rch2B-3_RM216.1,455740,2600,9.95,9.95,,9.95,,0.78,,0.78,,148.55,138.6
Rch2B-3_RM216.1,455740,2700,10.14,10.14,,10.14,,0.79,,0.79,,148.74,138.6
Rch2B-3_RM216.1,455740,2800,10.33,10.33,,10.33,,0.81,,0.81,,148.93,138.6
Rch2B-3_RM216.1,455740,2900,10.5,10.5,,10.5,,0.82,,0.82,,149.1,138.6
Rch2B-3_RM216.1,455740,3000,10.67,10.67,,10.67,,0.84,,0.84,,149.27,138.6
Rch2B-3_RM216.1,455740,3100,10.83,10.83,,10.83,,0.85,,0.85,,149.43,138.6
Rch2B-3_RM216.1,455740,3200,10.99,10.99,,10.99,,0.87,,0.87,,149.59,138.6
Rch2B-3_RM216.1,455740,3300,11.15,11.15,,11.15,,0.88,,0.88,,149.75,138.6
Rch2B-3_RM216.1,455740,3400,11.3,11.3,,11.3,,0.9,,0.9,,149.9,138.6
Rch2B-3_RM216.1,455740,3500,11.44,11.44,,11.44,,0.91,,0.91,,150.04,138.6
Rch2B-3_RM216.1,455740,3600,11.58,11.58,,11.58,,0.93,,0.93,,150.18,138.6
Rch2B-3_RM216.1,455740,3700,11.72,11.72,,11.72,,0.94,,0.94,,150.32,138.6
Rch2B-3_RM216.1,455740,3800,11.84,11.84,,11.84,,0.96,,0.96,,150.44,138.6
Rch2B-3_RM216.1,455740,3900,11.97,11.97,,11.97,,0.97,,0.97,,150.57,138.6
Rch2B-3_RM216.1,455740,4000,12.09,12.09,,12.09,,0.99,,0.99,,150.69,138.6
Rch2B-3_RM216.1,455740,4100,12.21,12.21,,12.21,,1,,1,,150.81,138.6
Rch2B-3_RM216.1,455740,4200,12.33,12.33,,12.33,,1.02,,1.02,,150.93,138.6
Rch2B-3_RM216.1,455740,4300,12.44,12.44,,12.44,,1.03,,1.03,,151.04,138.6
Rch2B-3_RM216.1,455740,4400,12.55,12.55,,12.55,,1.05,,1.05,,151.15,138.6
Rch2B-3_RM216.1,455740,4500,12.66,12.66,,12.66,,1.06,,1.06,,151.26,138.6
,,,,,,,,,,,,,
Rch2B-3_RM216.1,455739,100,0.15,0.15,,0.15,,2.14,,2.14,,142.95,142.8
Rch2B-3_RM216.1,455739,200,0.24,0.24,,0.24,,2.73,,2.73,,143.04,142.8
Rch2B-3_RM216.1,455739,300,0.31,0.31,,0.31,,3.12,,3.12,,143.11,142.8
Rch2B-3_RM216.1,455739,400,0.37,0.37,,0.37,,3.46,,3.46,,143.17,142.8
Rch2B-3_RM216.1,455739,500,0.43,0.43,,0.43,,3.71,,3.71,,143.23,142.8
Rch2B-3_RM216.1,455739,600,0.49,0.49,,0.49,,3.96,,3.96,,143.29,142.8
Rch2B-3_RM216.1,455739,700,0.54,0.54,,0.54,,4.2,,4.2,,143.34,142.8
Rch2B-3_RM216.1,455739,800,0.59,0.59,,0.59,,4.36,,4.36,,143.39,142.8
Rch2B-3_RM216.1,455739,900,0.81,0.81,,0.81,,3.61,,3.61,,143.61,142.8
Rch2B-3_RM216.1,455739,1000,1.24,1.24,,1.24,,2.61,,2.61,,144.04,142.8
Rch2B-3_RM216.1,455739,1100,1.63,1.63,,1.63,,2.18,,2.18,,144.43,142.8
