Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
Rch2B-3_RM216.1,455740,PF 1,100,282.36,0.61,0.03,283
Rch2B-3_RM216.1,455740,PF 2,200,305.28,0.62,0.86,306.76
Rch2B-3_RM216.1,455740,PF 3,300,321.9,2.7,1.76,326.36
Rch2B-3_RM216.1,455740,PF 4,400,332.73,2.86,3.2,338.79
Rch2B-3_RM216.1,455740,PF 5,500,341.41,3.44,5.14,350
Rch2B-3_RM216.1,455740,PF 6,600,349.69,4.55,8.13,362.37
Rch2B-3_RM216.1,455740,PF 7,700,358.43,7.52,10.83,376.78
Rch2B-3_RM216.1,455740,PF 8,800,367.57,10.6,14.11,392.28
Rch2B-3_RM216.1,455740,PF 9,900,377.66,14.59,17.3,409.55
Rch2B-3_RM216.1,455740,PF 10,1000,387.9,19.71,20.46,428.07
Rch2B-3_RM216.1,455740,PF 11,1100,399.36,24.96,24.23,448.56
Rch2B-3_RM216.1,455740,PF 12,1200,410.71,31.04,29.29,471.04
Rch2B-3_RM216.1,455740,PF 13,1300,421.53,36.24,34.63,492.4
Rch2B-3_RM216.1,455740,PF 14,1400,434.69,42.66,41.05,518.39
Rch2B-3_RM216.1,455740,PF 15,1500,447.57,49.95,47.98,545.5
Rch2B-3_RM216.1,455740,PF 16,1600,458.54,61.32,55.85,575.71
Rch2B-3_RM216.1,455740,PF 17,1700,468.89,70.78,63.45,603.12
Rch2B-3_RM216.1,455740,PF 18,1800,476.81,81.39,71.38,629.58
Rch2B-3_RM216.1,455740,PF 19,1900,485.41,93.28,79.37,658.06
Rch2B-3_RM216.1,455740,PF 20,2000,492.94,105.87,87.39,686.21
Rch2B-3_RM216.1,455740,PF 21,2100,499.96,116.76,94.84,711.56
Rch2B-3_RM216.1,455740,PF 22,2200,506.02,126.64,102.84,735.49
Rch2B-3_RM216.1,455740,PF 23,2300,511.28,135.66,111.73,758.67
Rch2B-3_RM216.1,455740,PF 24,2400,516.95,143.4,119.2,779.55
Rch2B-3_RM216.1,455740,PF 25,2500,521.69,150.08,125.26,797.02
Rch2B-3_RM216.1,455740,PF 26,2600,526.33,156.11,131.23,813.67
Rch2B-3_RM216.1,455740,PF 27,2700,530.44,161.63,140.21,832.28
Rch2B-3_RM216.1,455740,PF 28,2800,534.18,167.14,145.96,847.27
Rch2B-3_RM216.1,455740,PF 29,2900,537.3,172.61,155.7,865.61
Rch2B-3_RM216.1,455740,PF 30,3000,540.09,178.32,160.38,878.79
Rch2B-3_RM216.1,455740,PF 31,3100,542.78,184.84,165.66,893.28
Rch2B-3_RM216.1,455740,PF 32,3200,545.18,190.75,170.97,906.9
Rch2B-3_RM216.1,455740,PF 33,3300,547.66,202.77,175.16,925.6
Rch2B-3_RM216.1,455740,PF 34,3400,549.7,209.05,178.9,937.64
Rch2B-3_RM216.1,455740,PF 35,3500,551.67,214.37,182.35,948.39
Rch2B-3_RM216.1,455740,PF 36,3600,553.39,218.74,185.69,957.82
Rch2B-3_RM216.1,455740,PF 37,3700,554.66,222.26,188.47,965.39
Rch2B-3_RM216.1,455740,PF 38,3800,555.9,225.16,191.4,972.47
Rch2B-3_RM216.1,455740,PF 39,3900,556.99,228,194.01,979.01
Rch2B-3_RM216.1,455740,PF 40,4000,558.15,231.31,196.36,985.82
Rch2B-3_RM216.1,455740,PF 41,4100,559.13,234.1,199.02,992.25
Rch2B-3_RM216.1,455740,PF 42,4200,559.97,236.82,201.93,998.72
Rch2B-3_RM216.1,455740,PF 43,4300,560.86,244.54,204.96,1010.36
Rch2B-3_RM216.1,455740,PF 44,4400,561.66,247.06,209.4,1018.12
Rch2B-3_RM216.1,455740,PF 45,4500,562.45,249.63,211.72,1023.79
,,,,,,,
Rch2B-3_RM216.1,455739,PF 1,100,282.35,0.61,0.03,282.99
Rch2B-3_RM216.1,455739,PF 2,200,305.28,0.62,0.86,306.76
Rch2B-3_RM216.1,455739,PF 3,300,321.9,2.7,1.76,326.35
Rch2B-3_RM216.1,455739,PF 4,400,332.72,2.86,3.2,338.78
Rch2B-3_RM216.1,455739,PF 5,500,341.41,3.44,5.14,349.99
Rch2B-3_RM216.1,455739,PF 6,600,349.69,4.55,8.13,362.36
Rch2B-3_RM216.1,455739,PF 7,700,358.42,7.52,10.83,376.77
Rch2B-3_RM216.1,455739,PF 8,800,367.57,10.6,14.11,392.28
Rch2B-3_RM216.1,455739,PF 9,900,377.65,14.59,17.3,409.54
Rch2B-3_RM216.1,455739,PF 10,1000,387.89,19.71,20.46,428.06
Rch2B-3_RM216.1,455739,PF 11,1100,399.36,24.96,24.23,448.55
Rch2B-3_RM216.1,455739,PF 12,1200,410.7,31.04,29.29,471.03
Rch2B-3_RM216.1,455739,PF 13,1300,421.52,36.24,34.63,492.39
Rch2B-3_RM216.1,455739,PF 14,1400,434.68,42.66,41.05,518.39
Rch2B-3_RM216.1,455739,PF 15,1500,447.56,49.95,47.98,545.49
Rch2B-3_RM216.1,455739,PF 16,1600,458.53,61.32,55.85,575.71
Rch2B-3_RM216.1,455739,PF 17,1700,468.88,70.78,63.45,603.11
Rch2B-3_RM216.1,455739,PF 18,1800,476.8,81.39,71.38,629.57
Rch2B-3_RM216.1,455739,PF 19,1900,485.4,93.28,79.37,658.05
Rch2B-3_RM216.1,455739,PF 20,2000,492.93,105.87,87.39,686.2
Rch2B-3_RM216.1,455739,PF 21,2100,499.95,116.76,94.84,711.56
Rch2B-3_RM216.1,455739,PF 22,2200,506.01,126.64,102.84,735.49
Rch2B-3_RM216.1,455739,PF 23,2300,511.28,135.66,111.73,758.66
Rch2B-3_RM216.1,455739,PF 24,2400,516.94,143.4,119.2,779.54
Rch2B-3_RM216.1,455739,PF 25,2500,521.68,150.08,125.26,797.02
Rch2B-3_RM216.1,455739,PF 26,2600,526.32,156.11,131.23,813.66
Rch2B-3_RM216.1,455739,PF 27,2700,530.43,161.63,140.21,832.27
Rch2B-3_RM216.1,455739,PF 28,2800,534.17,167.14,145.96,847.26
