Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Reach4B1,265601,100,0.69,0.32,,0.32,,3.15,,3.15,,99.79,99.1
Reach4B1,265601,200,0.87,0.47,,0.47,,3.94,,3.94,,99.97,99.1
Reach4B1,265601,300,1.84,1.44,,1.44,,1.93,,1.93,,100.94,99.1
Reach4B1,265601,400,2.79,2.38,,2.38,,1.55,,1.55,,101.89,99.1
Reach4B1,265601,500,3.61,3.2,,3.2,,1.45,,1.45,,102.71,99.1
Reach4B1,265601,600,4.33,3.92,,3.92,,1.42,,1.42,,103.43,99.1
Reach4B1,265601,700,4.97,4.57,,4.57,,1.42,,1.42,,104.07,99.1
Reach4B1,265601,800,5.57,5.17,,5.17,,1.43,,1.43,,104.67,99.1
Reach4B1,265601,900,6.15,5.74,,5.74,,1.45,,1.45,,105.25,99.1
Reach4B1,265601,1000,6.75,6.35,,6.35,,1.46,,1.46,,105.85,99.1
Reach4B1,265601,1100,7.27,6.86,,6.86,,1.48,,1.48,,106.37,99.1
Reach4B1,265601,1200,7.84,7.44,,7.44,,1.49,,1.49,,106.94,99.1
Reach4B1,265601,1300,8.41,8,,8,,1.5,,1.5,,107.51,99.1
Reach4B1,265601,1400,8.95,8.55,,8.55,,1.52,,1.52,,108.05,99.1
Reach4B1,265601,1500,9.53,9.13,,9.13,,1.52,,1.52,,108.63,99.1
Reach4B1,265601,1600,10.13,9.73,,9.73,,1.52,,1.52,,109.23,99.1
Reach4B1,265601,1700,10.69,10.29,,10.29,,1.53,,1.53,,109.79,99.1
Reach4B1,265601,1800,11.25,10.85,,10.85,,1.54,,1.54,,110.35,99.1
Reach4B1,265601,1900,11.83,11.43,,11.43,,1.54,,1.54,,110.93,99.1
Reach4B1,265601,2000,12.25,11.85,,11.85,,1.56,,1.56,,111.35,99.1
Reach4B1,265601,2100,12.85,12.45,,12.45,,1.56,,1.56,,111.95,99.1
Reach4B1,265601,2200,13.46,13.06,,13.06,,1.56,,1.56,,112.56,99.1
Reach4B1,265601,2300,14.18,13.77,,13.77,,1.55,,1.55,,113.28,99.1
Reach4B1,265601,2400,14.84,1.15,0.2,7.08,0.2,1.29,0.14,1.49,0.14,113.94,99.1
Reach4B1,265601,2500,15.49,1.8,0.85,7.73,0.85,0.86,0.29,1.25,0.28,114.59,99.1
Reach4B1,265601,2600,16.18,2.49,1.54,8.42,1.54,0.64,0.32,1.01,0.32,115.28,99.1
Reach4B1,265601,2700,16.83,3.14,2.19,9.07,2.19,0.53,0.33,0.84,0.32,115.93,99.1
Reach4B1,265601,2800,17.56,3.87,2.92,9.8,2.92,0.45,0.31,0.7,0.31,116.66,99.1
Reach4B1,265601,2900,18.37,4.68,3.73,10.6,3.73,0.38,0.29,0.59,0.29,117.47,99.1
Reach4B1,265601,3000,19.15,5.46,4.51,11.39,4.51,0.34,0.27,0.51,0.27,118.25,99.1
Reach4B1,265601,3100,19.93,6.24,5.29,12.17,5.29,0.31,0.26,0.45,0.25,119.03,99.1
Reach4B1,265601,3200,20.81,7.12,6.17,13.04,6.17,0.28,0.24,0.4,0.23,119.91,99.1
Reach4B1,265601,3300,21.65,7.96,7.01,13.89,7.01,0.26,0.22,0.36,0.22,120.75,99.1
Reach4B1,265601,3400,22.6,8.91,7.96,14.84,7.96,0.24,0.21,0.32,0.21,121.7,99.1
Reach4B1,265601,3500,23.62,9.92,8.98,15.85,8.98,0.22,0.2,0.29,0.19,122.72,99.1
Reach4B1,265601,3600,24.5,10.81,9.86,16.73,9.86,0.21,0.19,0.27,0.18,123.6,99.1
Reach4B1,265601,3700,25.52,11.83,10.88,17.76,10.88,0.19,0.18,0.25,0.17,124.62,99.1
Reach4B1,265601,3800,26.64,12.94,12,18.87,12,0.18,0.17,0.23,0.16,125.74,99.1
Reach4B1,265601,3900,27.36,13.67,12.72,19.6,12.72,0.18,0.17,0.22,0.16,126.46,99.1
Reach4B1,265601,4000,28.4,14.71,13.76,20.64,13.76,0.17,0.16,0.21,0.15,127.5,99.1
Reach4B1,265601,4100,29.56,15.87,14.92,21.8,14.92,0.16,0.15,0.2,0.15,128.66,99.1
Reach4B1,265601,4200,30.71,17.02,16.07,22.95,16.07,0.15,0.15,0.19,0.14,129.81,99.1
