Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
Reach4B2,154065,PF 1,100,124.51,6.06,7.06,137.64
Reach4B2,154065,PF 2,200,157.83,19.96,18.24,196.02
Reach4B2,154065,PF 3,300,180.12,32.5,27.71,240.33
Reach4B2,154065,PF 4,400,194.67,52.89,35.86,283.43
Reach4B2,154065,PF 5,500,206.67,63.58,46.4,316.66
Reach4B2,154065,PF 6,600,217.53,78.13,59.79,355.45
Reach4B2,154065,PF 7,700,226.16,92.1,74.23,392.49
Reach4B2,154065,PF 8,800,232.35,107.88,88.37,428.6
Reach4B2,154065,PF 9,900,237.01,125.88,103.26,466.16
Reach4B2,154065,PF 10,1000,240.74,144.33,117.52,502.59
Reach4B2,154065,PF 11,1100,243.8,162.46,131.34,537.6
Reach4B2,154065,PF 12,1200,247.24,181.8,145.95,575
Reach4B2,154065,PF 13,1300,250.39,200.44,159.75,610.59
Reach4B2,154065,PF 14,1400,253.69,219.51,174.94,648.14
Reach4B2,154065,PF 15,1500,256.57,240,193.01,689.58
Reach4B2,154065,PF 16,1600,258.87,264.13,209.55,732.56
Reach4B2,154065,PF 17,1700,260.48,288.68,225.79,774.95
Reach4B2,154065,PF 18,1800,262.59,311.71,242.27,816.57
Reach4B2,154065,PF 19,1900,264.34,334.29,259.67,858.29
Reach4B2,154065,PF 20,2000,265.73,355.69,275.9,897.32
Reach4B2,154065,PF 21,2100,266.89,379.19,291.7,937.78
Reach4B2,154065,PF 22,2200,268.12,399.35,309.01,976.48
Reach4B2,154065,PF 23,2300,269.23,418.39,326.44,1014.06
Reach4B2,154065,PF 24,2400,270.31,439.39,345.49,1055.19
Reach4B2,154065,PF 25,2500,271.31,459.98,365.73,1097.02
Reach4B2,154065,PF 26,2600,271.98,479.77,384.25,1136.01
Reach4B2,154065,PF 27,2700,272.61,502.9,402.01,1177.52
Reach4B2,154065,PF 28,2800,273.16,527.18,418.71,1219.06
Reach4B2,154065,PF 29,2900,273.6,551.33,435.61,1260.54
Reach4B2,154065,PF 30,3000,274.11,575.42,451.5,1301.03
Reach4B2,154065,PF 31,3100,274.38,598.38,465.87,1338.62
Reach4B2,154065,PF 32,3200,274.62,619.9,477.89,1372.42
Reach4B2,154065,PF 33,3300,274.81,640.42,487.76,1402.99
Reach4B2,154065,PF 34,3400,275.01,660.16,497.96,1433.14
Reach4B2,154065,PF 35,3500,275.11,677.97,507.84,1460.93
Reach4B2,154065,PF 36,3600,275.23,693.95,516.35,1485.53
Reach4B2,154065,PF 37,3700,275.32,709.42,523.77,1508.51
Reach4B2,154065,PF 38,3800,275.47,724.1,530.35,1529.92
Reach4B2,154065,PF 39,3900,275.56,737.64,536.36,1549.56
Reach4B2,154065,PF 40,4000,275.64,749.07,542.44,1567.15
Reach4B2,154065,PF 41,4100,275.7,761.28,548.92,1585.9
Reach4B2,154065,PF 42,4200,275.74,770.98,554.04,1600.76
Reach4B2,154065,PF 43,4300,275.76,780,558.82,1614.59
Reach4B2,154065,PF 44,4400,275.78,787.8,563.56,1627.14
Reach4B2,154065,PF 45,4500,275.8,794.47,567.71,1637.98
,,,,,,,
Reach4B2,153655,PF 1,100,123.59,6.06,7.05,136.7
Reach4B2,153655,PF 2,200,156.86,19.95,18.22,195.03
Reach4B2,153655,PF 3,300,179.11,32.47,27.68,239.26
Reach4B2,153655,PF 4,400,193.63,52.82,35.83,282.28
Reach4B2,153655,PF 5,500,205.61,63.48,46.24,315.33
Reach4B2,153655,PF 6,600,216.45,78,59.54,353.99
Reach4B2,153655,PF 7,700,225.07,91.95,73.96,390.98
Reach4B2,153655,PF 8,800,231.26,107.71,88.08,427.05
Reach4B2,153655,PF 9,900,235.92,125.67,102.96,464.55
Reach4B2,153655,PF 10,1000,239.65,144.06,117.19,500.89
Reach4B2,153655,PF 11,1100,242.71,162.14,130.99,535.84
Reach4B2,153655,PF 12,1200,246.14,181.41,145.6,573.14
Reach4B2,153655,PF 13,1300,249.29,199.96,159.39,608.63
Reach4B2,153655,PF 14,1400,252.59,218.93,174.56,646.08
Reach4B2,153655,PF 15,1500,255.47,239.34,192.62,687.42
Reach4B2,153655,PF 16,1600,257.77,263.39,209.01,730.17
Reach4B2,153655,PF 17,1700,259.38,287.8,225.18,772.35
Reach4B2,153655,PF 18,1800,261.48,310.57,241.46,813.51
Reach4B2,153655,PF 19,1900,263.23,332.98,258.76,854.96
Reach4B2,153655,PF 20,2000,264.61,354.21,274.91,893.74
Reach4B2,153655,PF 21,2100,265.78,377.5,290.64,933.92
Reach4B2,153655,PF 22,2200,267,397.5,307.9,972.4
Reach4B2,153655,PF 23,2300,268.11,416.39,325.15,1009.65
Reach4B2,153655,PF 24,2400,269.2,437.19,343.91,1050.3
Reach4B2,153655,PF 25,2500,270.19,457.61,363.93,1091.73
Reach4B2,153655,PF 26,2600,270.86,477.25,382.24,1130.35
Reach4B2,153655,PF 27,2700,271.49,500.19,399.85,1171.54
Reach4B2,153655,PF 28,2800,272.04,524.29,416.47,1212.81
Reach4B2,153655,PF 29,2900,272.49,548.24,433.32,1254.05
Reach4B2,153655,PF 30,3000,272.99,572.1,449.17,1294.26
Reach4B2,153655,PF 31,3100,273.26,594.86,463.47,1331.59
Reach4B2,153655,PF 32,3200,273.5,616.19,475.43,1365.12
Reach4B2,153655,PF 33,3300,273.69,636.58,485.26,1395.54
Reach4B2,153655,PF 34,3400,273.89,656.22,495.44,1425.55
Reach4B2,153655,PF 35,3500,274,673.96,505.29,1453.25
Reach4B2,153655,PF 36,3600,274.11,689.85,513.78,1477.74
Reach4B2,153655,PF 37,3700,274.2,705.26,521.17,1500.64
Reach4B2,153655,PF 38,3800,274.35,719.88,527.74,1521.97
Reach4B2,153655,PF 39,3900,274.45,733.37,533.74,1541.55
Reach4B2,153655,PF 40,4000,274.52,744.75,539.8,1559.06
Reach4B2,153655,PF 41,4100,274.58,756.91,546.26,1577.75
Reach4B2,153655,PF 42,4200,274.62,766.58,551.36,1592.56
Reach4B2,153655,PF 43,4300,274.64,775.57,556.13,1606.34
Reach4B2,153655,PF 44,4400,274.66,783.35,560.84,1618.85
Reach4B2,153655,PF 45,4500,274.68,790,564.96,1629.65
,,,,,,,
Reach4B2,153288,PF 1,100,122.42,6.06,7.05,135.54
Reach4B2,153288,PF 2,200,155.56,19.95,18.22,193.73
Reach4B2,153288,PF 3,300,177.75,32.44,27.68,237.88
Reach4B2,153288,PF 4,400,192.22,52.75,35.83,280.8
Reach4B2,153288,PF 5,500,204.16,63.39,46.24,313.79
Reach4B2,153288,PF 6,600,214.97,77.89,59.54,352.4
Reach4B2,153288,PF 7,700,223.59,91.83,73.96,389.37
Reach4B2,153288,PF 8,800,229.76,107.57,88.08,425.41
Reach4B2,153288,PF 9,900,234.42,125.49,102.96,462.86
Reach4B2,153288,PF 10,1000,238.13,143.83,117.19,499.15
Reach4B2,153288,PF 11,1100,241.19,161.84,130.98,534
Reach4B2,153288,PF 12,1200,244.62,180.98,145.52,571.12
Reach4B2,153288,PF 13,1300,247.76,199.41,159.3,606.47
Reach4B2,153288,PF 14,1400,251.06,218.28,174.44,643.78
Reach4B2,153288,PF 15,1500,253.93,238.62,192.39,684.94
Reach4B2,153288,PF 16,1600,256.23,262.56,208.61,727.39
Reach4B2,153288,PF 17,1700,257.84,286.84,224.69,769.36
Reach4B2,153288,PF 18,1800,259.94,309.43,240.87,810.24
Reach4B2,153288,PF 19,1900,261.69,331.67,258.09,851.45
Reach4B2,153288,PF 20,2000,263.07,352.76,274.21,890.04
Reach4B2,153288,PF 21,2100,264.24,375.86,289.87,929.96
Reach4B2,153288,PF 22,2200,265.46,395.7,307.08,968.24
Reach4B2,153288,PF 23,2300,266.57,414.51,324.17,1005.25
Reach4B2,153288,PF 24,2400,267.65,435.2,342.52,1045.37
Reach4B2,153288,PF 25,2500,268.65,455.48,362.32,1086.45
Reach4B2,153288,PF 26,2600,269.31,474.99,380.42,1124.72
Reach4B2,153288,PF 27,2700,269.95,497.76,397.9,1165.61
