Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
ChowchillaBypass,275164.8,100,3.77,3.04,,3.04,,0.36,,0.36,,163.34,159.57
ChowchillaBypass,275164.8,200,4.1,3.37,,3.37,,0.64,,0.64,,163.67,159.57
ChowchillaBypass,275164.8,300,4.39,3.66,,3.66,,0.89,,0.89,,163.96,159.57
ChowchillaBypass,275164.8,400,4.65,3.92,,3.92,,1.1,,1.1,,164.22,159.57
ChowchillaBypass,275164.8,500,4.9,4.17,,4.17,,1.3,,1.3,,164.47,159.57
ChowchillaBypass,275164.8,600,5.14,4.41,,4.41,,1.47,,1.47,,164.71,159.57
ChowchillaBypass,275164.8,700,5.37,4.64,,4.64,,1.63,,1.63,,164.94,159.57
ChowchillaBypass,275164.8,800,5.58,4.85,,4.85,,1.79,,1.79,,165.15,159.57
ChowchillaBypass,275164.8,900,5.81,5.08,,5.08,,1.92,,1.92,,165.38,159.57
ChowchillaBypass,275164.8,1000,6,5.27,,5.27,,2.05,,2.05,,165.57,159.57
ChowchillaBypass,275164.8,1100,6.19,5.46,,5.46,,2.18,,2.18,,165.76,159.57
ChowchillaBypass,275164.8,1200,6.37,5.64,,5.64,,2.3,,2.3,,165.94,159.57
ChowchillaBypass,275164.8,1300,6.54,5.82,,5.82,,2.42,,2.42,,166.11,159.57
ChowchillaBypass,275164.8,1400,6.72,5.99,,5.99,,2.53,,2.53,,166.29,159.57
ChowchillaBypass,275164.8,1500,6.9,6.17,,6.17,,2.63,,2.63,,166.47,159.57
ChowchillaBypass,275164.8,1600,7.06,6.33,,6.33,,2.74,,2.74,,166.63,159.57
ChowchillaBypass,275164.8,1700,7.22,6.49,,6.49,,2.84,,2.84,,166.79,159.57
ChowchillaBypass,275164.8,1800,7.37,6.64,,6.64,,2.93,,2.93,,166.94,159.57
ChowchillaBypass,275164.8,1900,7.52,6.79,,6.79,,3.03,,3.03,,167.09,159.57
ChowchillaBypass,275164.8,2000,7.66,6.93,,6.93,,3.12,,3.12,,167.23,159.57
ChowchillaBypass,275164.8,2100,7.8,7.07,,7.07,,3.22,,3.22,,167.37,159.57
ChowchillaBypass,275164.8,2200,7.93,7.21,,7.21,,3.31,,3.31,,167.5,159.57
ChowchillaBypass,275164.8,2300,8.06,7.34,,7.34,,3.39,,3.39,,167.63,159.57
ChowchillaBypass,275164.8,2400,8.19,7.47,,7.47,,3.48,,3.48,,167.76,159.57
ChowchillaBypass,275164.8,2500,8.32,7.59,,7.59,,3.57,,3.57,,167.89,159.57
ChowchillaBypass,275164.8,2600,8.45,7.72,,7.72,,3.65,,3.65,,168.02,159.57
ChowchillaBypass,275164.8,2700,8.57,7.84,,7.84,,3.73,,3.73,,168.14,159.57
ChowchillaBypass,275164.8,2800,8.69,7.96,,7.96,,3.81,,3.81,,168.26,159.57
ChowchillaBypass,275164.8,2900,8.81,8.08,,8.08,,3.89,,3.89,,168.38,159.57
ChowchillaBypass,275164.8,3000,8.93,8.2,,8.2,,3.96,,3.96,,168.5,159.57
ChowchillaBypass,275164.8,3100,9.05,8.32,,8.32,,4.04,,4.04,,168.62,159.57
ChowchillaBypass,275164.8,3200,9.16,8.43,,8.43,,4.11,,4.11,,168.73,159.57
ChowchillaBypass,275164.8,3300,9.27,8.55,,8.55,,4.18,,4.18,,168.84,159.57
ChowchillaBypass,275164.8,3400,9.38,8.66,,8.66,,4.25,,4.25,,168.95,159.57
ChowchillaBypass,275164.8,3500,9.49,8.77,,8.77,,4.32,,4.32,,169.06,159.57
ChowchillaBypass,275164.8,3600,9.6,8.88,,8.88,,4.39,,4.39,,169.17,159.57
ChowchillaBypass,275164.8,3700,9.71,8.98,,8.98,,4.46,,4.46,,169.28,159.57
ChowchillaBypass,275164.8,3800,9.82,9.09,,9.09,,4.53,,4.53,,169.39,159.57
ChowchillaBypass,275164.8,3900,9.92,9.19,,9.19,,4.59,,4.59,,169.49,159.57
ChowchillaBypass,275164.8,4000,10.02,9.3,,9.3,,4.66,,4.66,,169.59,159.57
ChowchillaBypass,275164.8,4100,10.12,9.4,,9.4,,4.73,,4.73,,169.69,159.57
ChowchillaBypass,275164.8,4200,10.23,9.5,,9.5,,4.79,,4.79,,169.8,159.57
ChowchillaBypass,275164.8,4300,10.32,9.6,,9.6,,4.85,,4.85,,169.89,159.57
ChowchillaBypass,275164.8,4400,10.42,9.7,,9.7,,4.91,,4.91,,169.99,159.57
ChowchillaBypass,275164.8,4500,10.52,9.79,,9.79,,4.98,,4.98,,170.09,159.57
,,,,,,,,,,,,,
ChowchillaBypass,275161,100,2.54,2.54,,2.54,,0.49,,0.49,,163.33,160.79
ChowchillaBypass,275161,200,2.87,2.87,,2.87,,0.87,,0.87,,163.66,160.79
ChowchillaBypass,275161,300,3.15,3.15,,3.15,,1.19,,1.19,,163.94,160.79
ChowchillaBypass,275161,400,3.41,3.41,,3.41,,1.46,,1.46,,164.2,160.79
ChowchillaBypass,275161,500,3.66,3.66,,3.66,,1.71,,1.71,,164.45,160.79
ChowchillaBypass,275161,600,3.89,3.89,,3.89,,1.93,,1.93,,164.68,160.79
ChowchillaBypass,275161,700,4.11,4.11,,4.11,,2.13,,2.13,,164.9,160.79
ChowchillaBypass,275161,800,4.32,4.32,,4.32,,2.32,,2.32,,165.11,160.79
ChowchillaBypass,275161,900,4.54,4.54,,4.54,,2.48,,2.48,,165.33,160.79
ChowchillaBypass,275161,1000,4.72,4.72,,4.72,,2.65,,2.65,,165.51,160.79
ChowchillaBypass,275161,1100,4.91,4.91,,4.91,,2.8,,2.8,,165.7,160.79
ChowchillaBypass,275161,1200,5.08,5.08,,5.08,,2.95,,2.95,,165.87,160.79
ChowchillaBypass,275161,1300,5.25,5.25,,5.25,,3.1,,3.1,,166.04,160.79
ChowchillaBypass,275161,1400,5.42,5.42,,5.42,,3.23,,3.23,,166.21,160.79
ChowchillaBypass,275161,1500,5.59,5.59,,5.59,,3.36,,3.36,,166.38,160.79
ChowchillaBypass,275161,1600,5.74,5.74,,5.74,,3.48,,3.48,,166.53,160.79
ChowchillaBypass,275161,1700,5.9,5.9,,5.9,,3.6,,3.6,,166.69,160.79
ChowchillaBypass,275161,1800,6.05,6.05,,6.05,,3.72,,3.72,,166.84,160.79
ChowchillaBypass,275161,1900,6.19,6.19,,6.19,,3.84,,3.84,,166.98,160.79
ChowchillaBypass,275161,2000,6.32,6.32,,6.32,,3.95,,3.95,,167.11,160.79
ChowchillaBypass,275161,2100,6.45,6.45,,6.45,,4.07,,4.07,,167.24,160.79
ChowchillaBypass,275161,2200,6.58,6.58,,6.58,,4.18,,4.18,,167.37,160.79
ChowchillaBypass,275161,2300,6.71,6.71,,6.71,,4.29,,4.29,,167.5,160.79
ChowchillaBypass,275161,2400,6.83,6.83,,6.83,,4.39,,4.39,,167.62,160.79
ChowchillaBypass,275161,2500,6.95,6.95,,6.95,,4.5,,4.5,,167.74,160.79
ChowchillaBypass,275161,2600,7.07,7.07,,7.07,,4.6,,4.6,,167.86,160.79
ChowchillaBypass,275161,2700,7.18,7.18,,7.18,,4.7,,4.7,,167.97,160.79
ChowchillaBypass,275161,2800,7.3,7.3,,7.3,,4.8,,4.8,,168.09,160.79
ChowchillaBypass,275161,2900,7.41,7.41,,7.41,,4.89,,4.89,,168.2,160.79
ChowchillaBypass,275161,3000,7.52,7.52,,7.52,,4.98,,4.98,,168.31,160.79
ChowchillaBypass,275161,3100,7.63,7.63,,7.63,,5.08,,5.08,,168.42,160.79
ChowchillaBypass,275161,3200,7.74,7.74,,7.74,,5.17,,5.17,,168.53,160.79
ChowchillaBypass,275161,3300,7.85,7.85,,7.85,,5.26,,5.26,,168.64,160.79
ChowchillaBypass,275161,3400,7.95,7.95,,7.95,,5.34,,5.34,,168.74,160.79
ChowchillaBypass,275161,3500,8.05,8.05,,8.05,,5.43,,5.43,,168.85,160.79
ChowchillaBypass,275161,3600,8.16,8.16,,8.16,,5.52,,5.52,,168.95,160.79
ChowchillaBypass,275161,3700,8.26,8.26,,8.26,,5.6,,5.6,,169.05,160.79
ChowchillaBypass,275161,3800,8.36,8.36,,8.36,,5.68,,5.68,,169.15,160.79
ChowchillaBypass,275161,3900,8.46,8.46,,8.46,,5.77,,5.77,,169.25,160.79
ChowchillaBypass,275161,4000,8.55,8.55,,8.55,,5.85,,5.85,,169.34,160.79
ChowchillaBypass,275161,4100,8.64,8.64,,8.64,,5.93,,5.93,,169.43,160.79
ChowchillaBypass,275161,4200,8.74,8.74,,8.74,,6.01,,6.01,,169.53,160.79
ChowchillaBypass,275161,4300,8.83,8.83,,8.83,,6.09,,6.09,,169.62,160.79
ChowchillaBypass,275161,4400,8.92,8.92,,8.92,,6.16,,6.16,,169.71,160.79
ChowchillaBypass,275161,4500,9.01,9.01,,9.01,,6.24,,6.24,,169.8,160.79
,,,,,,,,,,,,,
ChowchillaBypass,275105.7,100,2.54,2.54,,2.54,,0.49,,0.49,,163.33,160.79
ChowchillaBypass,275105.7,200,2.87,2.87,,2.87,,0.87,,0.87,,163.66,160.79
ChowchillaBypass,275105.7,300,3.15,3.15,,3.15,,1.19,,1.19,,163.94,160.79
ChowchillaBypass,275105.7,400,3.41,3.41,,3.41,,1.47,,1.47,,164.2,160.79
ChowchillaBypass,275105.7,500,3.65,3.65,,3.65,,1.71,,1.71,,164.44,160.79
ChowchillaBypass,275105.7,600,3.88,3.88,,3.88,,1.93,,1.93,,164.67,160.79
ChowchillaBypass,275105.7,700,4.11,4.11,,4.11,,2.13,,2.13,,164.9,160.79
ChowchillaBypass,275105.7,800,4.31,4.31,,4.31,,2.32,,2.32,,165.1,160.79
ChowchillaBypass,275105.7,900,4.53,4.53,,4.53,,2.48,,2.48,,165.32,160.79
ChowchillaBypass,275105.7,1000,4.72,4.72,,4.72,,2.65,,2.65,,165.51,160.79
ChowchillaBypass,275105.7,1100,4.9,4.9,,4.9,,2.81,,2.81,,165.69,160.79
ChowchillaBypass,275105.7,1200,5.07,5.07,,5.07,,2.96,,2.96,,165.86,160.79
ChowchillaBypass,275105.7,1300,5.24,5.24,,5.24,,3.1,,3.1,,166.03,160.79
ChowchillaBypass,275105.7,1400,5.41,5.41,,5.41,,3.24,,3.24,,166.2,160.79
ChowchillaBypass,275105.7,1500,5.57,5.57,,5.57,,3.36,,3.36,,166.36,160.79
ChowchillaBypass,275105.7,1600,5.73,5.73,,5.73,,3.49,,3.49,,166.52,160.79
ChowchillaBypass,275105.7,1700,5.88,5.88,,5.88,,3.61,,3.61,,166.67,160.79
ChowchillaBypass,275105.7,1800,6.03,6.03,,6.03,,3.73,,3.73,,166.82,160.79
ChowchillaBypass,275105.7,1900,6.17,6.17,,6.17,,3.85,,3.85,,166.96,160.79
ChowchillaBypass,275105.7,2000,6.3,6.3,,6.3,,3.97,,3.97,,167.09,160.79
ChowchillaBypass,275105.7,2100,6.43,6.43,,6.43,,4.08,,4.08,,167.23,160.79
ChowchillaBypass,275105.7,2200,6.56,6.56,,6.56,,4.19,,4.19,,167.35,160.79
ChowchillaBypass,275105.7,2300,6.69,6.69,,6.69,,4.3,,4.3,,167.48,160.79
ChowchillaBypass,275105.7,2400,6.81,6.81,,6.81,,4.41,,4.41,,167.6,160.79
ChowchillaBypass,275105.7,2500,6.93,6.93,,6.93,,4.51,,4.51,,167.72,160.79
ChowchillaBypass,275105.7,2600,7.05,7.05,,7.05,,4.61,,4.61,,167.84,160.79
ChowchillaBypass,275105.7,2700,7.16,7.16,,7.16,,4.71,,4.71,,167.95,160.79
ChowchillaBypass,275105.7,2800,7.28,7.28,,7.28,,4.81,,4.81,,168.07,160.79
ChowchillaBypass,275105.7,2900,7.39,7.39,,7.39,,4.91,,4.91,,168.18,160.79
ChowchillaBypass,275105.7,3000,7.5,7.5,,7.5,,5,,5,,168.29,160.79
ChowchillaBypass,275105.7,3100,7.61,7.61,,7.61,,5.09,,5.09,,168.4,160.79
ChowchillaBypass,275105.7,3200,7.72,7.72,,7.72,,5.18,,5.18,,168.51,160.79
ChowchillaBypass,275105.7,3300,7.82,7.82,,7.82,,5.27,,5.27,,168.61,160.79
ChowchillaBypass,275105.7,3400,7.92,7.92,,7.92,,5.36,,5.36,,168.71,160.79
ChowchillaBypass,275105.7,3500,8.03,8.03,,8.03,,5.45,,5.45,,168.82,160.79
ChowchillaBypass,275105.7,3600,8.13,8.13,,8.13,,5.54,,5.54,,168.92,160.79
ChowchillaBypass,275105.7,3700,8.23,8.23,,8.23,,5.62,,5.62,,169.02,160.79
ChowchillaBypass,275105.7,3800,8.33,8.33,,8.33,,5.7,,5.7,,169.12,160.79
ChowchillaBypass,275105.7,3900,8.42,8.42,,8.42,,5.79,,5.79,,169.21,160.79
ChowchillaBypass,275105.7,4000,8.52,8.52,,8.52,,5.87,,5.87,,169.31,160.79
ChowchillaBypass,275105.7,4100,8.61,8.61,,8.61,,5.95,,5.95,,169.4,160.79
ChowchillaBypass,275105.7,4200,8.71,8.71,,8.71,,6.03,,6.03,,169.5,160.79
ChowchillaBypass,275105.7,4300,8.8,8.8,,8.8,,6.11,,6.11,,169.59,160.79
