Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
ChowchillaBypass,275164.8,PF 1,100,617.9,0.26,3.19,621.35
ChowchillaBypass,275164.8,PF 2,200,676.35,1.15,4.53,682.02
ChowchillaBypass,275164.8,PF 3,300,711.18,2.89,6.07,720.13
ChowchillaBypass,275164.8,PF 4,400,740.42,5.7,8.12,754.25
ChowchillaBypass,275164.8,PF 5,500,765.72,7.77,10.43,783.92
ChowchillaBypass,275164.8,PF 6,600,786.28,11.07,12.3,809.65
ChowchillaBypass,275164.8,PF 7,700,804.39,14.5,15.12,834
ChowchillaBypass,275164.8,PF 8,800,819.42,17.01,19.01,855.44
ChowchillaBypass,275164.8,PF 9,900,830.81,19.75,23.75,874.31
ChowchillaBypass,275164.8,PF 10,1000,841.45,23.06,29.5,894.01
ChowchillaBypass,275164.8,PF 11,1100,851.11,26.34,37.15,914.59
ChowchillaBypass,275164.8,PF 12,1200,859.18,30.74,44.61,934.53
ChowchillaBypass,275164.8,PF 13,1300,867.54,36.59,53.88,958.01
ChowchillaBypass,275164.8,PF 14,1400,876.49,42.26,64.39,983.14
ChowchillaBypass,275164.8,PF 15,1500,884.84,50.25,77.58,1012.67
ChowchillaBypass,275164.8,PF 16,1600,892.51,59.83,94.61,1046.95
ChowchillaBypass,275164.8,PF 17,1700,901.39,68.32,110.33,1080.04
ChowchillaBypass,275164.8,PF 18,1800,908.91,77.2,130.9,1117
ChowchillaBypass,275164.8,PF 19,1900,916.12,87.31,153.62,1157.05
ChowchillaBypass,275164.8,PF 20,2000,922.36,97.51,174.92,1194.78
ChowchillaBypass,275164.8,PF 21,2100,927.45,108.3,194.12,1229.88
ChowchillaBypass,275164.8,PF 22,2200,932.03,117.93,215.9,1265.87
ChowchillaBypass,275164.8,PF 23,2300,936.57,127.48,237.84,1301.89
ChowchillaBypass,275164.8,PF 24,2400,940.78,135.11,257.54,1333.43
ChowchillaBypass,275164.8,PF 25,2500,944.47,141.47,275.23,1361.17
ChowchillaBypass,275164.8,PF 26,2600,947.83,148.58,293.81,1390.22
ChowchillaBypass,275164.8,PF 27,2700,951.1,154.56,312.18,1417.84
ChowchillaBypass,275164.8,PF 28,2800,954.02,160.76,333.83,1448.61
ChowchillaBypass,275164.8,PF 29,2900,956.99,167.05,353.59,1477.63
ChowchillaBypass,275164.8,PF 30,3000,959.84,174.31,372.11,1506.26
ChowchillaBypass,275164.8,PF 31,3100,962.54,179.72,387.68,1529.94
ChowchillaBypass,275164.8,PF 32,3200,965.29,185.53,402.05,1552.87
ChowchillaBypass,275164.8,PF 33,3300,968,191.67,414.97,1574.64
ChowchillaBypass,275164.8,PF 34,3400,970.29,198.06,425.95,1594.3
ChowchillaBypass,275164.8,PF 35,3500,972.5,204.19,435.05,1611.74
ChowchillaBypass,275164.8,PF 36,3600,974.73,209.83,443.48,1628.04
ChowchillaBypass,275164.8,PF 37,3700,976.72,215.48,451.06,1643.25
ChowchillaBypass,275164.8,PF 38,3800,978.73,220.68,457.56,1656.98
ChowchillaBypass,275164.8,PF 39,3900,980.3,226.16,464.62,1671.09
ChowchillaBypass,275164.8,PF 40,4000,981.89,230.19,472.63,1684.71
ChowchillaBypass,275164.8,PF 41,4100,983.5,234.96,480.17,1698.63
ChowchillaBypass,275164.8,PF 42,4200,985.11,239.66,487.21,1711.98
ChowchillaBypass,275164.8,PF 43,4300,986.64,244.73,495.09,1726.46
ChowchillaBypass,275164.8,PF 44,4400,987.97,250.25,503.04,1741.26
ChowchillaBypass,275164.8,PF 45,4500,989.28,256.46,511.15,1756.88
,,,,,,,
ChowchillaBypass,275161,PF 1,100,617.89,0.26,3.19,621.34
ChowchillaBypass,275161,PF 2,200,676.34,1.15,4.53,682.02
ChowchillaBypass,275161,PF 3,300,711.17,2.89,6.07,720.13
ChowchillaBypass,275161,PF 4,400,740.42,5.7,8.12,754.24
ChowchillaBypass,275161,PF 5,500,765.71,7.77,10.43,783.91
ChowchillaBypass,275161,PF 6,600,786.27,11.07,12.3,809.64
ChowchillaBypass,275161,PF 7,700,804.38,14.5,15.12,833.99
ChowchillaBypass,275161,PF 8,800,819.41,17.01,19.01,855.43
ChowchillaBypass,275161,PF 9,900,830.8,19.75,23.75,874.3
ChowchillaBypass,275161,PF 10,1000,841.44,23.06,29.5,894
ChowchillaBypass,275161,PF 11,1100,851.1,26.34,37.15,914.58
ChowchillaBypass,275161,PF 12,1200,859.17,30.74,44.61,934.52
ChowchillaBypass,275161,PF 13,1300,867.53,36.59,53.88,958
ChowchillaBypass,275161,PF 14,1400,876.48,42.26,64.39,983.13
ChowchillaBypass,275161,PF 15,1500,884.83,50.25,77.58,1012.66
ChowchillaBypass,275161,PF 16,1600,892.5,59.83,94.61,1046.94
ChowchillaBypass,275161,PF 17,1700,901.38,68.32,110.33,1080.03
ChowchillaBypass,275161,PF 18,1800,908.9,77.2,130.9,1117
ChowchillaBypass,275161,PF 19,1900,916.11,87.31,153.62,1157.04
ChowchillaBypass,275161,PF 20,2000,922.35,97.51,174.92,1194.77
ChowchillaBypass,275161,PF 21,2100,927.44,108.3,194.12,1229.87
ChowchillaBypass,275161,PF 22,2200,932.03,117.93,215.9,1265.86
ChowchillaBypass,275161,PF 23,2300,936.56,127.48,237.84,1301.89
ChowchillaBypass,275161,PF 24,2400,940.78,135.11,257.54,1333.42
ChowchillaBypass,275161,PF 25,2500,944.47,141.47,275.23,1361.16
ChowchillaBypass,275161,PF 26,2600,947.82,148.58,293.81,1390.21
ChowchillaBypass,275161,PF 27,2700,951.09,154.56,312.18,1417.83
ChowchillaBypass,275161,PF 28,2800,954.01,160.76,333.83,1448.6
ChowchillaBypass,275161,PF 29,2900,956.98,167.05,353.59,1477.62
ChowchillaBypass,275161,PF 30,3000,959.83,174.31,372.11,1506.25
ChowchillaBypass,275161,PF 31,3100,962.53,179.72,387.68,1529.93
ChowchillaBypass,275161,PF 32,3200,965.28,185.53,402.05,1552.86
ChowchillaBypass,275161,PF 33,3300,968,191.67,414.97,1574.64
ChowchillaBypass,275161,PF 34,3400,970.28,198.06,425.95,1594.29
ChowchillaBypass,275161,PF 35,3500,972.5,204.19,435.05,1611.74
ChowchillaBypass,275161,PF 36,3600,974.73,209.83,443.48,1628.03
ChowchillaBypass,275161,PF 37,3700,976.71,215.48,451.06,1643.25
ChowchillaBypass,275161,PF 38,3800,978.72,220.68,457.56,1656.97
ChowchillaBypass,275161,PF 39,3900,980.3,226.16,464.62,1671.08
ChowchillaBypass,275161,PF 40,4000,981.88,230.19,472.63,1684.71
ChowchillaBypass,275161,PF 41,4100,983.5,234.96,480.17,1698.62
ChowchillaBypass,275161,PF 42,4200,985.1,239.66,487.21,1711.97
ChowchillaBypass,275161,PF 43,4300,986.63,244.73,495.09,1726.45
ChowchillaBypass,275161,PF 44,4400,987.96,250.25,503.04,1741.25
ChowchillaBypass,275161,PF 45,4500,989.27,256.46,511.15,1756.88
,,,,,,,
ChowchillaBypass,275105.7,PF 1,100,617.79,0.26,3.19,621.24
ChowchillaBypass,275105.7,PF 2,200,676.24,1.15,4.53,681.92
ChowchillaBypass,275105.7,PF 3,300,711.07,2.89,6.07,720.03
