Id,River,Habitat,miles,feet,Source,Species,date_updated
30,Tuolumne River,spawning,20.81399683,109897.9033,Gretchen Murphey,Fall Run Chinook,6/1/2017
7,Clear Creek,rearing,7.997036381,42224.35209,Matt Brown,Fall Run Chinook,6/1/2017
7,Clear Creek,spawning,7.997036381,42224.35209,Matt Brown,Fall Run Chinook,6/1/2017
9,Cow Creek,spawning,78.47426372,414344.1124,Tricia Bratcher,Fall Run Chinook,6/1/2021
9,Cow Creek,rearing,78.97883955,417008.2728,Tricia Bratcher,Fall Run Chinook,6/1/2021
4,Bear Creek,spawning,17.1039074,90308.63108,Tricia Bratcher,Fall Run Chinook,6/1/2017
4,Bear Creek,rearing,17.29622259,91324.05527,Tricia Bratcher,Fall Run Chinook,6/1/2017
8,Cottonwood Creek,rearing,22.35646431,118042.1315,Tricia Bratcher,Fall Run Chinook,6/1/2017
8,Cottonwood Creek,spawning,22.35646431,118042.1315,Tricia Bratcher,Fall Run Chinook,6/1/2017
3,Battle Creek,spawning,3.966914368,20945.30786,Jim Smith,Fall Run Chinook,6/1/2017
3,Battle Creek,rearing,5.871706358,31002.60957,Jim Smith,Fall Run Chinook,6/1/2017
13,Paynes Creek,spawning,11.80921976,62352.68036,Tricia Bratcher,Fall Run Chinook,6/1/2017
13,Paynes Creek,rearing,11.80921976,62352.68036,Tricia Bratcher,Fall Run Chinook,6/1/2017
11,Elder Creek,spawning,7.100790771,37492.17527,Tricia Bratcher,Fall Run Chinook,6/1/2017
11,Elder Creek,rearing,7.100790771,37492.17527,Tricia Bratcher,Fall Run Chinook,6/1/2017
12,Mill Creek,rearing,21.09909263,111403.2091,Matt Johnson,Fall Run Chinook,6/1/2017
12,Mill Creek,spawning,20.39240886,107671.9188,Matt Johnson,Fall Run Chinook,6/1/2017
15,Thomes Creek,spawning,37.47408391,197863.1631,Tricia Bratcher,Fall Run Chinook,6/1/2017
15,Thomes Creek,rearing,37.47408391,197863.1631,Tricia Bratcher,Fall Run Chinook,6/1/2017
10,Deer Creek,spawning,18.38828995,97090.17094,Matt Johnson,Fall Run Chinook,6/1/2017
10,Deer Creek,rearing,18.38828995,97090.17094,Matt Johnson,Fall Run Chinook,6/1/2017
5,Big Chico Creek,rearing,15.05463333,79488.46397,Clint Garman,Fall Run Chinook,6/1/2017
5,Big Chico Creek,spawning,15.05463333,79488.46397,Clint Garman,Fall Run Chinook,6/1/2017
14,Stony Creek,rearing,26.12097322,137918.7386,Clint Garman,Fall Run Chinook,6/1/2017
14,Stony Creek,spawning,26.12097322,137918.7386,Clint Garman,Fall Run Chinook,6/1/2017
6,Butte Creek,spawning,14.05985038,74236.00999,Clint Garman,Fall Run Chinook,6/1/2017
19,Feather River,spawning,18.02306993,95161.80926,Ryon Kurth,Fall Run Chinook,6/1/2017
19,Feather River,rearing,64.98259689,343108.1116,Ryon Kurth,Fall Run Chinook,6/1/2017
20,Yuba River,spawning,20.57897765,108657.002,Paul Bratovich,Fall Run Chinook,6/1/2017
20,Yuba River,rearing,23.07203069,121820.3221,Paul Bratovich,Fall Run Chinook,6/1/2017
23,American River,spawning,17.87932222,94402.82132,Chris Hammersmark,Fall Run Chinook,6/1/2017
23,American River,rearing,22.81160102,120445.2534,Chris Hammersmark,Fall Run Chinook,6/1/2017
26,Cosumnes River,spawning,13.95485198,73681.61843,Trevor Kennedy,Fall Run Chinook,6/1/2017
26,Cosumnes River,rearing,41.33881817,218268.9599,Trevor Kennedy,Fall Run Chinook,6/1/2017
27,Mokelumne River,spawning,10.10447035,53351.60343,Matt Saldate,Fall Run Chinook,6/1/2017
25,Calaveras River,rearing,18.48333097,97591.98753,Trevor Kennedy,Fall Run Chinook,6/1/2017
25,Calaveras River,spawning,12.28513854,64865.5315,Trevor Kennedy,Fall Run Chinook,6/1/2017
29,Stanislaus River,rearing,60.31270415,318451.0779,Domenic Giudice,Fall Run Chinook,6/1/2017
29,Stanislaus River,spawning,25.56767194,134997.3078,Domenic Giudice,Fall Run Chinook,6/1/2017
28,Merced River,spawning,24.76420382,130754.9962,Steve Tsao,Fall Run Chinook,6/1/2017
28,Merced River,rearing,51.75938823,273289.5698,Steve Tsao,Fall Run Chinook,6/1/2017
2,Antelope Creek,spawning,23.68558393,125059.8832,Matt Johnson,Fall Run Chinook,6/1/2017
2,Antelope Creek,rearing,31.619077,166948.7266,Matt Johnson,Fall Run Chinook,6/1/2017
1,Upper Sacramento River,spawning,59.35011612,313368.6131,Jim Smith,Fall Run Chinook,6/1/2017
18,Bear River,spawning,32.05040745,169226.1513,Justin Wood,Fall Run Chinook,6/1/2017
18,Bear River,rearing,32.05040745,169226.1513,Justin Wood,Fall Run Chinook,6/1/2017
1,Upper Sacramento River,rearing,59.1856797,312500.3888,Jim Smith,Fall Run Chinook,6/1/2017
16,Upper-mid Sacramento River,rearing,122.4500363,646536.1918,Mike Urkov,Fall Run Chinook,6/1/2017
21,Lower-mid Sacramento River,rearing,57.9625096,306042.0507,Mike Urkov,Fall Run Chinook,6/1/2017
32,North Delta,rearing,45.6540826,241053.5562,Mike Urkov,Fall Run Chinook,6/1/2017
24,Lower Sacramento River,rearing,13.70219179,72347.57263,Mike Urkov,Fall Run Chinook,6/1/2017
33,South Delta,rearing,69.61721553,367578.898,Mike Urkov,Fall Run Chinook,6/1/2017
31,San Joaquin River,rearing,45.68033098,241192.1476,Mike Urkov,Fall Run Chinook,6/1/2017
28,Merced River,spawning,24.76420382,130754.9962,Steve Tsao,Steelhead,6/1/2017
0,Sacramento River (Battle to Feather),,189.1066895,998483.3207,,Fall Run Chinook,6/1/2017
0,Sacramento River (keswick to battle),,55.52113461,293151.5907,,Fall Run Chinook,6/1/2017
0,Sacramento River (Feather to Freeport),,33.4367971,176546.2887,,Fall Run Chinook,6/1/2017
0, Wilkins Slough  to Feather,,38.22790428,201843.3346,,Fall Run Chinook,6/1/2017
0,Feather to American,,19.73460532,104198.7161,,Fall Run Chinook,6/1/2017
0,wilkins slough  to feather,,38.22790428,201843.3346,,Fall Run Chinook,6/1/2017
30,Tuolumne River,rearing,54.33113935,286868.4158,Wikert John,Fall Run Chinook,6/1/2017
