location,date ,tons,
Keswick Dam,1997,7000,
Salt Creek,1997,24000,
Keswick Dam,1998,8000,
Salt Creek,1998,15000,
Salt Creek,1999,25000,
Keswick Dam,2000,9000,
Tobiasson,2000,23000,
Salt Creek,2002,15000,
Salt Creek,2003,8800,
Keswick Dam,2004,4250,
Salt Creek,2004,4250,
Keswick Dam,2005,3600,
Salt Creek,2005,3600,
Keswick Dam,2006,6000,
Keswick Dam,2007,6000,
Salt Creek,2008,8300,
Salt Creek,2009,9900,
Keswick Dam,2010,5500,
Keswick Dam,2011,5000,
Keswick Dam,2012,15000,
Keswick Dam,2013,14000,
Keswick Dam,2014,0,
Keswick Dam,2015,0,
Market Street South,2016,12000,
Keswick Dam,2016,20000,
Keswick Dam,2017,14000,
Keswick Dam,2018,0,
Market Street South,2019,12000,
Keswick Dam,2019,20000,
Keswick Dam,2022,20000,
,,,
,,,
