flow_m3s,fraction,reach
210,0.080601826974745,kes_to_ben
500,0.2890918860827515,kes_to_ben
750,0.46587855991402466,kes_to_ben
1000,0.6088124664159054,kes_to_ben
1250,0.6550241805480923,kes_to_ben
1500,0.7044599677592691,kes_to_ben
2000,0.7442235357334765,kes_to_ben
2240,0.7603439011284255,kes_to_ben
210,0.08260196179659264,ben_to_cyp
500,0.19411461022199283,ben_to_cyp
750,0.3025296850800207,ben_to_cyp
1000,0.3830665978316985,ben_to_cyp
1250,0.41610738255033564,ben_to_cyp
1500,0.43675787299948504,ben_to_cyp
2000,0.4470831182240577,ben_to_cyp
2240,0.4475993804852866,ben_to_cyp
210,0.12177121771217708,cyp_to_bon
500,0.3368476541908276,cyp_to_bon
750,0.49288350026357397,cyp_to_bon
1000,0.569847127042699,cyp_to_bon
1250,0.5867158671586715,cyp_to_bon
1500,0.6056931997891407,cyp_to_bon
2000,0.5761729045861887,cyp_to_bon
2240,0.5318924617817606,cyp_to_bon
210,0.10235414534288641,bon_to_clear
500,0.2732855680655067,bon_to_clear
750,0.41760491299897645,bon_to_clear
1000,0.489252814738997,bon_to_clear
1250,0.5230296827021496,bon_to_clear
1500,0.535312180143296,bon_to_clear
2000,0.5465711361310133,bon_to_clear
2240,0.428863868986694,bon_to_clea
