scenario,species,life_stage,habitat_type,flow,suitable_acres,timestamp
Existing,fall,adult,instream,100,58.4328742,11/15/2018 6:00
Existing,fall,adult,floodplain,100,-9999,11/15/2018 6:00
Existing,fall,juvenile,instream,100,57.05977961,11/15/2018 6:00
Existing,fall,juvenile,floodplain,100,13.16593205,11/15/2018 6:00
Existing,fall,rearing,instream,100,57.05977961,11/15/2018 6:00
Existing,fall,rearing,floodplain,100,13.16593205,11/15/2018 6:00
Existing,fall,spawning,instream,100,58.4328742,11/15/2018 6:00
Existing,fall,spawning,floodplain,100,-9999,11/15/2018 6:00
Existing,spring,adult,instream,100,-9999,11/15/2018 6:00
Existing,spring,adult,floodplain,100,-9999,11/15/2018 6:00
Existing,spring,juvenile,instream,100,61.49871442,11/15/2018 6:00
Existing,spring,juvenile,floodplain,100,13.16593205,11/15/2018 6:00
Existing,spring,rearing,instream,100,61.49871442,11/15/2018 6:00
Existing,spring,rearing,floodplain,100,13.16593205,11/15/2018 6:00
Existing,spring,spawning,instream,100,-9999,11/15/2018 6:00
Existing,spring,spawning,floodplain,100,-9999,11/15/2018 6:00
Existing,late-fall,adult,instream,100,58.4328742,11/15/2018 6:00
Existing,late-fall,adult,floodplain,100,-9999,11/15/2018 6:00
Existing,late-fall,juvenile,instream,100,57.05977961,11/15/2018 6:00
Existing,late-fall,juvenile,floodplain,100,13.16593205,11/15/2018 6:00
Existing,late-fall,rearing,instream,100,57.05977961,11/15/2018 6:00
Existing,late-fall,rearing,floodplain,100,13.16593205,11/15/2018 6:00
Existing,late-fall,spawning,instream,100,58.4328742,11/15/2018 6:00
Existing,late-fall,spawning,floodplain,100,-9999,11/15/2018 6:00
Existing,hardhead,adult,instream,100,-9999,11/15/2018 6:00
Existing,hardhead,adult,floodplain,100,-9999,11/15/2018 6:00
Existing,hardhead,juvenile,instream,100,12.01652893,11/15/2018 6:00
Existing,hardhead,juvenile,floodplain,100,1.104958678,11/15/2018 6:00
Existing,hardhead,rearing,instream,100,12.01652893,11/15/2018 6:00
Existing,hardhead,rearing,floodplain,100,1.104958678,11/15/2018 6:00
Existing,hardhead,spawning,instream,100,-9999,11/15/2018 6:00
Existing,hardhead,spawning,floodplain,100,-9999,11/15/2018 6:00
Existing,steelhead,adult,instream,100,-9999,11/15/2018 6:00
Existing,steelhead,adult,floodplain,100,-9999,11/15/2018 6:00
Existing,steelhead,juvenile,instream,100,61.49871442,11/15/2018 6:00
Existing,steelhead,juvenile,floodplain,100,13.16593205,11/15/2018 6:00
Existing,steelhead,rearing,instream,100,61.49871442,11/15/2018 6:00
