watershed,regulated,max_spawning_acres,max_rearing_acres,max_floodplain_acres
American River,yes + modeled with HEC RAS,118.21674036363638,399.7034407272728,5247.774447272728
Clear Creek,yes,12.703259927272727,82.47903418181816,68.25764385559673
Feather River,yes,428.1592848,572.9216653333333,887.8605480340465
Lower Sacramento River,yes + modeled with HEC RAS,102.50987636363635,85.42489696969697,984.3579272727274
Lower-mid Sacramento River,yes + modeled with HEC RAS,600.3168000000001,500.26400000000007,2372.0897484
Merced River,yes,117.29338828282827,97.74449023569024,362.42127439853937
Mokelumne River,yes,90.14057105454546,586.0140567272728,484.2578711212907
San Joaquin River,yes,75.11698066985647,61.638660287081336,1126.7754290579503
Stanislaus River,yes,83.23998383838384,269.26361212121213,418.98382029216606
Stony Creek,yes,32.19883636363636,209.1321818181818,217.36383996654072
Tuolumne River,yes,93.5537198961039,471.6429942857143,443.1292273546656
Upper Sacramento River,yes,332.8826120279721,2150.9769454545453,921.9043855510274
Upper-mid Sacramento River,yes + modeled with HEC RAS,761.968501818182,634.9737515151517,15696.758236363637
Yuba River,yes,77.83459557024793,770.5523746115701,427.2251981483497
Antelope Creek,no,14.503289839572194,62.39889377540107,86.23380924693934
Battle Creek,no,25.043497835497835,92.36973852813853,144.47512979219334
Bear Creek,no,8.121898909090909,52.82287636363637,51.03922603205064
Bear River,no,29.194377373737375,46.79602122558923,161.28042868134284
Big Chico Creek,no,13.019845454545452,84.52245454545455,89.12834790301105
Butte Creek,no,45.29347878787878,150.19203620202018,310.4706215128099
Calaveras River,no,19.515552,126.851088,102.61911958102063
Cosumnes River,no,34.54336351515151,165.59306723232325,166.6458795282845
Cottonwood Creek,no,151.53804019138755,984.9972612440191,896.1394119199015
Cow Creek,no,46.55784036363635,302.62596236363635,314.47212796323004
Deer Creek,no,34.88576,14.432599999999999,197.7303863003232
Elder Creek,no,4.44326214876033,28.88120396694215,18.843367638819302
Mill Creek,no,39.69258604958677,231.5821351404959,240.49290890813847
North Delta,no,338.4159,282.01325,48.27638463999595
Paynes Creek,no,12.412889075098814,80.65476648221345,71.44449801953995
South Delta,no,307.829176916996,256.5243140974967,2424.6800974527528
Thomes Creek,no,36.762162481283426,230.707183885918,10.54640738490656
